"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","prev_pitch_type"
"1","4","1","0",2,"3","2",0,0,0,0,0,"1"
"8","1","1","0",4,"3","2",0,0,0,0,0,"1"
"1","8","1","0",5,"3","2",0,0,0,0,2,"1"
"1","8","1","1",6,"3","2",1,0,0,0,4,"10"
"10","4","1","1",2,"3","2",0,0,0,0,0,"1"
"1","2","1","0",1,"3","2",1,0,0,0,0,"10"
"1","3","1","0",1,"3","2",0,0,0,0,1,"1"
"10","6","1","0",2,"3","2",1,0,0,0,3,"8"
"1","2","1","0",1,"3","2",0,1,0,0,0,"8"
"8","8","1","0",2,"3","2",1,0,0,0,2,"1"
"1","3","1","0",1,"3","2",0,0,0,0,1,"1"
"1","7","1","0",2,"3","2",0,0,0,0,1,"10"
"10","2","1","1",1,"3","2",1,0,0,0,0,"10"
"1","5","1","1",2,"3","2",1,0,0,0,0,"10"
"10","3","1","0",3,"3","2",0,1,1,0,0,"1"
"10","1","1","0",4,"3","2",0,0,0,0,0,"8"
"1","7","1","1",2,"3","2",0,0,0,0,0,"10"
"10","2","1","0",5,"3","2",0,1,0,0,3,"10"
"10","3","1","0",7,"3","2",1,0,0,0,1,"1"
"10","1","1","0",5,"3","2",2,0,0,0,-2,"8"
"1","8","1","0",5,"3","2",0,0,0,0,2,"1"
"1","5","1","0",2,"3","2",0,0,0,0,0,"10"
"1","2","1","1",5,"3","2",1,1,0,0,-3,"10"
"8","5","1","0",4,"3","2",0,0,0,0,1,"1"
"10","7","1","1",3,"3","2",2,1,1,1,-1,"1"
"1","1","1","0",1,"3","2",0,0,0,0,0,"10"
"10","7","1","0",4,"3","2",1,0,0,0,1,"10"
"10","3","1","1",6,"3","2",2,1,0,0,2,"10"
"8","3","1","0",6,"3","2",0,0,0,0,1,"8"
"1","2","1","0",1,"3","2",0,0,0,0,0,"1"
"10","1","1","0",3,"3","2",0,0,0,0,0,"1"
"10","4","1","0",2,"3","2",0,0,0,0,0,"10"
"1","3","1","1",4,"3","2",0,0,0,0,0,"1"
"1","4","1","1",4,"3","2",2,0,0,0,0,"10"
"10","8","1","1",8,"3","2",0,0,0,0,9,"10"
"10","5","1","0",6,"3","2",0,0,1,1,1,"10"
"8","8","1","0",5,"3","2",1,1,0,0,-2,"10"
"8","2","1","0",4,"3","2",0,0,0,0,0,"10"
"10","6","1","0",2,"3","2",0,0,0,0,-1,"10"
"8","2","1","0",3,"3","2",0,0,0,0,2,"1"
"1","1","1","0",6,"3","2",0,0,0,0,2,"1"
"10","6","1","1",1,"3","2",0,1,0,1,-3,"1"
"1","2","1","1",1,"3","2",1,1,0,0,0,"10"
"1","1","1","0",5,"3","2",2,0,0,0,0,"10"
"10","1","1","0",3,"3","2",0,0,0,0,-1,"8"
"10","4","1","1",2,"3","2",0,0,0,0,0,"10"
"1","1","1","0",4,"3","2",0,0,0,0,0,"1"
"1","4","1","0",3,"3","2",2,0,0,0,2,"8"
"8","5","1","1",6,"3","2",0,1,0,0,0,"1"
"1","3","1","1",1,"3","2",1,0,0,0,0,"1"
"1","2","1","1",1,"3","2",1,0,0,0,0,"10"
"1","9","1","1",5,"3","2",1,0,0,0,3,"10"
"10","5","1","1",2,"3","2",0,0,0,0,2,"10"
"1","5","1","0",2,"3","2",0,0,0,0,0,"10"
"1","6","1","0",2,"3","2",0,1,0,0,0,"1"
"1","4","1","0",5,"3","2",0,0,0,0,-1,"1"
"1","3","1","1",7,"3","2",2,0,0,0,4,"1"
"8","8","1","0",5,"3","2",0,0,0,0,1,"10"
"10","4","1","0",3,"3","2",0,1,1,1,-1,"10"
"1","1","1","0",3,"3","2",1,0,0,0,0,"10"
"10","6","1","1",4,"3","2",1,0,0,0,-2,"10"
"10","1","1","0",2,"3","2",1,0,1,1,-1,"8"
"10","4","1","0",4,"3","2",0,0,0,0,-1,"1"
"1","4","1","1",6,"3","2",1,0,0,0,5,"1"
"1","5","1","1",4,"3","2",0,0,0,0,-1,"10"
"10","4","1","0",1,"3","2",0,1,1,0,-1,"8"
"1","6","1","0",4,"3","2",1,0,0,0,-1,"8"
"10","4","1","0",1,"3","2",1,1,0,0,0,"8"
"10","8","1","1",7,"3","2",1,0,0,0,3,"10"
"10","3","1","0",1,"3","2",1,0,0,0,0,"1"
"8","1","1","0",3,"3","2",0,1,0,0,1,"10"
"8","2","1","0",1,"3","2",0,0,0,0,0,"1"
"8","1","1","0",3,"3","2",0,1,0,0,1,"8"
"10","9","1","0",2,"3","2",2,0,1,1,-1,"10"
"10","9","1","1",7,"3","2",1,1,0,0,3,"8"
"1","1","1","0",6,"3","2",0,0,0,0,1,"1"
"1","9","1","1",2,"3","2",1,1,0,1,3,"10"
"1","1","1","0",1,"3","2",0,0,0,0,0,"10"
"1","2","1","1",3,"3","2",2,0,0,0,-2,"10"
"10","3","1","1",4,"3","2",0,0,0,0,0,"10"
"1","3","1","1",4,"3","2",0,0,0,0,0,"10"
"1","3","1","0",3,"3","2",0,0,0,0,-2,"8"
"1","1","1","0",5,"3","2",0,1,0,0,2,"1"
"1","1","1","1",3,"3","2",1,0,0,0,0,"1"
"1","3","1","1",1,"3","2",1,0,0,0,0,"1"
"1","4","1","0",1,"3","2",0,1,1,0,-1,"10"
"8","6","1","0",7,"3","2",1,1,0,0,2,"8"
"1","3","1","0",6,"3","2",2,0,0,0,0,"1"
"1","3","1","0",1,"3","2",0,1,0,0,-1,"8"
"1","7","1","0",5,"3","2",1,0,0,0,1,"8"
"8","3","1","1",4,"3","2",0,0,0,0,-2,"1"
