"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"8",9,"0","1",3,"2","2",0,0,0,0,1,3.55,1,0.32,0,1,1,1,0,0,"7","2"
"2",20,"0","0",6,"3","1",1,0,0,0,1,2.51,77,0.275,20,1,18,8,0,0,"2","7"
"2",1,"0","0",1,"1","0",0,0,0,0,0,1.29,5,0.292,1,1,1,0,0,0,"1","-1"
"1",8,"0","1",3,"2","1",0,0,0,0,0,1.98,9,0.203,2,1,6,1,0,0,"2","2"
"8",19,"0","0",5,"1","1",1,1,0,1,0,2.55,18,0.299,3,1,6,2,0,0,"7","7"
"2",8,"0","1",2,"0","0",2,0,1,0,-1,5.13,0,0,0,1,5,9,0,0,"-1","-1"
"2",10,"0","1",3,"0","1",2,0,0,0,5,3.11,0,0,0,1,9,7,0,0,"2","-1"
"1",1,"0","1",1,"0","1",0,0,0,0,1,5.26,26,0.27,6,-1,4,9,0,0,"2","-1"
"2",19,"0","0",5,"1","2",0,0,0,0,0,3.06,31,0.25,9,-1,8,5,0,0,"7","2"
"2",10,"0","0",3,"0","1",2,0,0,0,1,2.89,36,0.248,10,1,10,7,0,0,"2","-1"
"7",27,"0","1",8,"2","2",0,0,0,0,3,4.76,13,0.227,5,-1,7,12,0,0,"3","3"
"2",20,"0","1",5,"0","0",0,0,0,0,-5,5.43,25,0.267,6,1,2,5,0,0,"-1","-1"
"2",16,"0","0",5,"1","2",0,0,0,0,-1,3.71,10,0.141,4,-1,2,2,0,0,"7","2"
"2",8,"0","0",2,"1","1",2,0,0,0,-1,1.76,7,0.262,2,1,7,1,0,0,"2","2"
"2",4,"0","1",1,"3","1",1,1,0,0,0,1.87,21,0.267,4,1,5,0,0,0,"2","2"
"7",14,"0","1",3,"0","0",1,1,0,0,-3,2.38,11,0.253,2,-1,8,3,0,0,"-1","-1"
"7",16,"0","1",4,"1","2",1,0,1,0,2,2.7,28,0.295,2,-1,6,3,0,0,"7","2"
"8",2,"0","1",1,"1","1",1,0,0,0,0,5.02,46,0.242,19,1,6,9,0,0,"3","2"
"7",21,"0","1",6,"0","1",2,0,0,0,8,3.68,12,0.242,3,1,3,2,0,0,"2","-1"
"2",28,"0","1",6,"0","0",2,0,0,0,-2,2.35,21,0.291,2,-1,13,5,0,0,"-1","-1"
"2",4,"0","0",1,"2","0",0,0,1,0,-1,2.38,34,0.299,8,-1,8,3,0,0,"7","7"
"2",25,"0","1",7,"1","0",1,0,0,0,4,2.56,6,0.228,1,1,17,8,0,0,"2","-1"
"7",17,"0","1",4,"0","1",0,1,0,0,11,5.32,7,0.294,1,-1,3,9,0,0,"2","-1"
"8",19,"0","1",5,"0","1",0,0,0,0,0,3.75,4,0.297,1,1,1,1,0,0,"2","-1"
"2",24,"0","1",7,"1","0",2,0,0,0,0,0.9,4,0.231,1,-1,2,0,0,0,"2","-1"
"8",17,"0","1",6,"0","2",0,1,0,0,5,1.9,20,0.287,5,1,7,2,0,0,"2","8"
"2",31,"0","1",7,"3","2",2,1,0,0,-1,3.12,49,0.282,10,1,10,9,0,0,"2","7"
"2",4,"0","1",2,"0","0",0,0,0,0,4,1.9,12,0.284,4,1,7,2,0,0,"-1","-1"
"2",5,"0","0",2,"0","0",0,1,0,0,2,2.04,37,0.271,11,-1,8,2,0,0,"-1","-1"
"7",7,"0","0",2,"2","2",2,0,0,0,0,7.2,0,0.1,0,-1,0,1,0,0,"7","1"
"2",7,"0","1",3,"0","0",0,0,0,0,1,4.7,30,0.248,9,1,6,9,0,0,"-1","-1"
"2",31,"0","0",9,"3","0",2,1,0,0,8,3.68,14,0.236,3,1,3,2,0,0,"2","3"
"2",14,"0","1",4,"0","0",1,0,0,0,1,2.51,48,0.223,17,1,18,8,0,0,"-1","-1"
"2",1,"0","0",1,"0","0",0,0,0,0,0,2.29,73,0.27,23,-1,17,6,0,0,"-1","-1"
"2",10,"0","0",3,"0","0",1,0,0,0,0,4.86,17,0.266,7,1,6,11,0,0,"-1","-1"
"2",22,"0","1",7,"0","1",0,0,0,0,3,2.35,51,0.259,18,1,8,3,0,0,"2","-1"
"1",22,"0","1",5,"0","2",2,0,0,0,6,3,41,0.22,7,1,11,9,0,0,"7","7"
"2",6,"0","1",2,"0","0",0,1,0,0,0,4.41,5,0.256,0,1,2,3,0,0,"-1","-1"
"2",10,"0","1",3,"2","2",1,0,0,0,0,1.87,0,0.339,0,1,5,0,0,0,"2","1"
"8",4,"0","1",2,"1","1",0,0,0,0,3,3.06,70,0.293,7,-1,10,9,0,0,"1","1"
"2",6,"0","1",2,"3","2",1,0,0,0,1,2.89,9,0.342,3,1,10,7,0,0,"2","1"
"1",14,"0","1",4,"0","1",1,0,0,0,-1,2.97,63,0.272,21,-1,10,7,0,0,"1","-1"
"2",21,"0","0",6,"1","0",0,0,0,0,0,4.56,56,0.289,15,1,7,11,0,0,"7","-1"
"2",14,"0","1",4,"0","0",2,1,0,0,0,0,0,0,0,1,0,0,0,0,"-1","-1"
"1",2,"0","1",1,"0","0",1,0,0,0,0,4.7,10,0.255,0,1,6,9,0,0,"-1","-1"
"2",23,"0","1",6,"0","0",2,1,1,0,-1,3.1,0,0.25,0,1,10,9,0,0,"-1","-1"
"8",29,"0","1",9,"2","2",1,0,0,0,0,0.9,7,0.271,1,-1,2,0,0,0,"7","2"
"2",25,"0","1",8,"1","1",1,1,0,0,5,3.06,14,0.244,3,-1,4,2,0,0,"8","1"
"1",15,"0","1",5,"2","2",0,0,0,0,2,7.2,3,0.121,1,-1,0,1,0,0,"8","3"
"7",20,"0","0",4,"0","1",2,0,0,0,1,5.26,40,0.286,10,-1,4,9,0,0,"7","-1"
"2",1,"0","1",1,"0","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"1","-1"
"2",2,"0","1",1,"0","0",0,1,0,0,0,2.29,76,0.293,34,-1,17,6,0,0,"-1","-1"
"2",14,"0","1",3,"3","0",0,1,0,0,-1,3.2,19,0.22,5,-1,9,5,0,0,"2","8"
"2",6,"0","1",2,"1","0",0,0,1,0,-1,4.56,10,0.313,1,-1,7,11,0,0,"7","-1"
"2",20,"0","1",6,"2","1",0,0,0,0,1,7.2,1,0.455,0,-1,0,1,0,0,"7","3"
"8",11,"0","1",4,"0","1",0,0,0,0,2,2.89,31,0.274,2,1,10,7,0,0,"8","-1"
"2",11,"0","1",4,"3","2",0,0,0,0,0,7.2,1,0.455,0,-1,0,1,0,0,"8","1"
"8",31,"0","1",9,"0","0",1,1,0,0,4,2.35,51,0.259,18,1,8,3,0,0,"-1","-1"
"2",2,"0","1",1,"0","0",1,1,0,0,0,4.86,65,0.297,20,1,6,11,0,0,"-1","-1"
"2",4,"0","1",1,"1","1",2,1,0,0,0,0.9,12,0.369,3,-1,2,0,0,0,"2","1"
"2",10,"0","1",3,"0","0",2,0,0,0,0,5.02,37,0.246,7,1,6,9,0,0,"-1","-1"
"7",5,"0","0",1,"0","0",2,0,1,1,0,3,92,0.273,24,1,11,9,0,0,"-1","-1"
"2",21,"0","0",6,"3","2",0,0,0,0,0,4.56,56,0.289,15,1,7,11,0,0,"7","1"
"2",3,"0","1",1,"2","1",1,0,0,0,0,3.06,0,0,0,-1,8,5,0,0,"1","2"
"2",28,"0","0",7,"1","0",2,0,1,0,-1,3.07,24,0.297,3,-1,10,8,0,0,"7","-1"
"2",18,"0","1",5,"1","1",1,0,1,0,3,5.13,16,0.271,1,1,5,9,0,0,"2","3"
"1",14,"0","1",4,"2","1",1,0,0,0,-1,2.97,63,0.272,21,-1,10,7,0,0,"1","1"
"2",19,"0","1",6,"0","0",0,0,0,0,1,2.51,34,0.263,2,1,18,8,0,0,"-1","-1"
"2",20,"0","1",6,"1","1",0,0,0,0,1,1.76,14,0.308,2,1,7,1,0,0,"2","2"
"7",16,"0","0",5,"0","1",0,0,0,0,2,3.5,2,0.158,0,-1,1,1,0,0,"2","-1"
"7",5,"0","1",2,"0","2",1,0,0,0,4,3.06,6,0.317,2,-1,4,2,0,0,"8","1"
"7",17,"0","1",4,"1","2",1,1,1,1,0,3.75,4,0.342,0,1,1,1,0,0,"7","2"
"2",2,"0","1",1,"0","0",0,1,0,0,0,2.35,0,0.086,0,-1,13,5,0,0,"-1","-1"
"2",30,"0","1",9,"1","2",0,0,0,0,7,3.11,67,0.258,17,1,9,7,0,0,"1","2"
"7",19,"0","1",5,"0","1",2,0,1,0,2,2.28,6,0.289,0,1,15,6,0,0,"7","-1"
"7",28,"0","0",7,"0","0",2,0,1,0,-2,3.29,34,0.278,8,1,9,6,0,0,"-1","-1"
"1",9,"0","0",3,"0","0",1,0,0,0,1,2.5,4,0.205,0,1,7,3,0,0,"-1","-1"
"8",8,"0","1",3,"0","2",1,0,0,0,5,1.9,20,0.287,5,1,7,2,0,0,"8","2"
"1",2,"0","1",1,"0","0",1,0,0,0,0,2.89,31,0.274,2,1,10,7,0,0,"-1","-1"
"8",25,"0","1",5,"0","0",2,0,1,0,2,5.26,9,0.273,1,-1,4,9,0,0,"-1","-1"
"1",21,"0","1",4,"1","0",1,1,0,0,1,2.78,50,0.254,17,-1,8,5,0,0,"7","-1"
"7",2,"0","1",1,"1","2",1,0,0,0,3,3.06,28,0.263,8,-1,4,2,0,0,"3","3"
"2",13,"0","1",4,"2","0",0,0,0,0,-1,5.92,33,0.219,10,-1,2,6,0,0,"2","2"
"2",9,"0","1",3,"2","1",0,0,0,0,0,4.86,9,0.226,3,1,6,11,0,0,"2","7"
"2",15,"0","1",4,"1","0",1,0,0,0,1,2.63,4,0.222,1,-1,8,4,0,0,"2","-1"
"1",4,"0","1",1,"1","0",2,1,0,0,0,5.11,16,0.271,5,1,2,4,0,0,"8","-1"
"2",3,"0","1",1,"0","0",1,0,0,0,0,4.76,74,0.303,28,-1,7,12,0,0,"-1","-1"
"2",4,"0","1",1,"0","0",2,1,0,0,0,3.55,6,0.294,2,1,1,1,0,0,"-1","-1"
"2",17,"0","1",4,"0","1",2,0,0,0,0,2.32,25,0.232,3,1,12,5,0,0,"1","-1"
"2",8,"0","1",2,"1","0",2,0,0,0,1,2.36,7,0.176,0,1,14,6,0,0,"2","-1"
"2",7,"0","1",2,"0","0",1,1,0,0,-2,1.67,16,0.269,3,-1,6,0,0,0,"-1","-1"
"7",15,"0","1",4,"0","1",2,1,0,0,4,2.56,48,0.256,11,1,17,8,0,0,"2","-1"
"7",7,"0","0",2,"1","2",2,0,0,0,0,7.2,0,0.1,0,-1,0,1,0,0,"1","7"
"8",18,"0","1",4,"0","0",2,0,1,1,0,3.75,3,0.225,0,1,1,1,0,0,"-1","-1"
"2",26,"0","1",7,"2","1",2,0,0,0,0,0,0,0,0,-1,0,0,0,0,"2","8"
"2",13,"0","1",3,"1","2",1,1,0,1,-4,5.43,27,0.264,7,1,2,5,0,0,"7","8"
"2",6,"0","1",1,"0","0",2,1,1,0,-1,3.12,11,0.235,4,1,10,9,0,0,"-1","-1"
"8",16,"0","1",4,"1","2",1,0,0,0,0,2.32,5,0.158,2,1,12,5,0,0,"8","7"
"2",28,"0","0",8,"1","0",2,0,1,0,8,3.68,11,0.328,4,1,3,2,0,0,"2","-1"
"7",6,"0","1",2,"2","2",1,0,0,1,0,1.29,2,0.2,0,1,1,0,0,0,"8","3"
"7",15,"0","0",5,"0","1",0,0,0,0,0,5.58,30,0.282,9,1,3,6,0,0,"7","-1"
"7",13,"0","0",3,"3","2",1,1,0,0,-2,2.38,34,0.299,8,-1,8,3,0,0,"1","2"
"2",2,"0","1",1,"1","0",1,0,0,0,0,3.68,9,0.255,1,1,3,2,0,0,"2","-1"
"8",2,"0","1",1,"0","1",0,1,0,0,0,3.12,10,0.265,0,1,10,9,0,0,"2","-1"
"7",22,"0","1",7,"0","1",1,0,0,0,5,3.06,20,0.299,2,-1,4,2,0,0,"3","-1"
"2",16,"0","1",5,"0","0",0,1,0,1,-1,5.44,14,0.186,5,-1,3,8,0,0,"-1","-1"
"2",16,"0","1",4,"0","0",0,1,0,0,4,3,21,0.196,6,1,11,9,0,0,"-1","-1"
"2",23,"0","1",6,"0","1",2,0,1,1,-1,3.08,37,0.235,6,-1,10,9,0,0,"8","-1"
"8",8,"0","1",2,"3","2",1,1,1,0,-1,2.92,0,0.217,0,-1,5,2,0,0,"8","7"
"2",29,"0","1",5,"1","0",2,1,0,1,-1,3.2,41,0.279,8,-1,9,5,0,0,"2","-1"
"7",5,"0","0",2,"1","1",0,1,0,0,2,5.5,28,0.273,8,-1,3,7,0,0,"2","2"
"2",20,"0","0",5,"1","1",1,0,0,0,3,4.64,26,0.219,7,1,8,12,0,0,"7","7"
"2",3,"0","1",1,"0","0",2,1,0,0,0,0,1,0.176,0,1,0,0,0,0,"-1","-1"
"2",9,"0","1",3,"0","0",1,0,0,0,5,3.11,12,0.206,2,1,9,7,0,0,"-1","-1"
"2",25,"0","1",6,"0","0",2,0,0,0,6,3,21,0.196,6,1,11,9,0,0,"-1","-1"
"8",8,"0","1",2,"2","2",1,1,1,0,-1,2.92,0,0.217,0,-1,5,2,0,0,"7","2"
"2",6,"0","1",2,"0","1",0,0,0,0,0,1.87,4,0.237,1,1,5,0,0,0,"1","-1"
"2",17,"0","1",5,"2","0",0,1,0,0,2,3.5,9,0.283,3,-1,1,1,0,0,"2","1"
"2",13,"0","1",4,"0","0",0,0,0,0,1,3.75,5,0.143,0,1,1,1,0,0,"-1","-1"
"2",15,"0","1",4,"1","0",1,1,0,0,6,2.47,8,0.235,2,-1,19,8,0,0,"3","-1"
"7",6,"0","1",1,"0","0",2,0,0,0,-2,2.18,8,0.364,0,-1,2,1,0,0,"-1","-1"
"1",7,"0","0",2,"0","2",2,0,0,0,0,7.2,0,0.1,0,-1,0,1,0,0,"7","3"
"7",13,"0","1",4,"0","1",1,0,0,0,0,5.58,7,0.246,2,1,3,6,0,0,"2","-1"
"7",6,"0","0",2,"1","2",1,1,0,0,2,5.5,29,0.193,3,-1,3,7,0,0,"2","7"
"7",10,"0","0",3,"2","2",1,0,0,0,0,3.07,24,0.297,3,-1,10,8,0,0,"2","2"
"2",13,"0","1",4,"2","2",0,0,0,0,1,4.8,61,0.255,23,-1,6,9,0,0,"7","2"
"1",16,"0","1",6,"3","2",0,0,0,0,6,3.06,43,0.26,7,-1,10,9,0,0,"1","8"
"7",1,"0","1",1,"1","2",0,0,0,0,0,3.38,9,0.275,2,1,2,1,0,0,"8","1"
"2",13,"0","1",3,"3","2",2,0,0,0,4,0.8,19,0.225,5,-1,3,0,0,0,"2","2"
"2",3,"0","1",1,"0","1",1,1,0,0,0,2.78,50,0.254,17,-1,8,5,0,0,"1","-1"
"2",2,"0","1",1,"2","0",1,0,0,0,0,5.43,25,0.267,6,1,2,5,0,0,"2","1"
"2",18,"0","1",5,"0","1",1,0,1,0,3,5.13,16,0.271,1,1,5,9,0,0,"3","-1"
"2",16,"0","1",4,"3","2",1,0,1,0,2,2.7,28,0.295,2,-1,6,3,0,0,"2","7"
"8",15,"0","1",4,"1","1",2,0,0,0,0,3.1,31,0.17,8,1,10,9,0,0,"2","2"
"2",9,"0","1",3,"0","0",1,0,0,0,1,2.89,13,0.284,0,1,10,7,0,0,"-1","-1"
"2",19,"0","1",5,"2","0",0,0,0,0,-3,2.14,17,0.26,3,-1,11,3,0,0,"2","2"
"2",2,"0","1",1,"0","0",0,1,0,0,0,1.67,25,0.344,6,-1,6,0,0,0,"-1","-1"
"2",10,"0","1",3,"3","1",0,0,0,0,5,3,46,0.264,4,1,11,9,0,0,"2","8"
"7",11,"0","1",3,"2","1",2,0,0,0,0,0.62,12,0.346,2,-1,2,0,0,0,"2","2"
"2",12,"0","1",3,"0","0",2,1,1,0,-1,3.75,2,0.325,0,1,1,1,0,0,"-1","-1"
"2",8,"0","1",2,"0","0",2,0,0,0,-2,1.67,4,0.212,0,-1,6,0,0,0,"-1","-1"
"2",11,"0","1",3,"2","0",0,1,0,0,3,2.03,6,0.203,1,-1,10,3,0,0,"2","2"
"2",13,"0","1",3,"0","2",1,0,0,0,11,5.32,37,0.283,8,-1,3,9,0,0,"8","3"
"2",5,"0","1",2,"0","0",0,1,0,0,0,1.85,9,0.211,2,-1,7,1,0,0,"-1","-1"
"2",4,"0","1",1,"2","0",2,1,0,0,0,4.76,89,0.255,36,-1,7,12,0,0,"2","2"
"7",18,"0","0",5,"0","0",0,0,1,1,2,3.5,7,0.194,3,-1,1,1,0,0,"-1","-1"
"2",9,"0","1",2,"0","0",2,0,1,0,-1,5.92,2,0.211,0,-1,2,6,0,0,"-1","-1"
"2",5,"0","1",2,"2","1",0,1,0,0,0,2.14,21,0.293,6,-1,11,3,0,0,"3","8"
"2",6,"0","0",2,"2","1",0,0,0,0,0,2.17,32,0.272,9,1,9,3,0,0,"2","2"
"8",8,"0","1",2,"1","0",1,1,1,0,0,0,2,0.154,0,1,0,0,0,0,"2","-1"
"8",26,"0","1",7,"1","0",2,0,0,0,0,0,0,0,0,-1,0,0,0,0,"1","-1"
"8",26,"0","1",6,"0","0",0,1,0,0,-4,2.18,3,0.15,0,-1,2,1,0,0,"-1","-1"
"8",15,"0","1",4,"0","1",2,1,1,1,4,0,0,0,0,-1,1,0,0,0,"2","-1"
"2",9,"0","1",3,"0","0",1,0,0,0,0,2.28,4,0.116,1,1,15,6,0,0,"-1","-1"
"2",16,"0","1",5,"0","0",1,0,0,0,3,2.23,30,0.245,3,1,11,4,0,0,"-1","-1"
"2",19,"0","1",5,"0","1",2,1,0,0,1,7.2,5,0.325,4,-1,0,1,0,0,"7","-1"
"1",4,"0","1",1,"0","0",1,1,1,0,0,3.2,36,0.242,12,-1,9,5,0,0,"-1","-1"
"2",4,"0","1",1,"1","2",2,1,0,0,5,2.37,79,0.257,31,-1,14,6,0,0,"8","7"
