"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"1",4,"0","1",1,"2","2",1,0,1,0,-2,3.21,44,0.276,6,-1,13,8,0,0,"1","7"
"1",17,"0","1",5,"3","2",1,0,0,0,4,2.85,13,0.216,2,-1,7,3,0,0,"1","1"
"7",8,"0","1",2,"2","2",1,0,0,0,-1,2.96,17,0.258,2,-1,16,7,0,0,"7","8"
"1",8,"0","0",2,"2","1",2,1,1,0,0,2.66,50,0.255,12,-1,14,9,0,0,"7","10"
"2",14,"0","1",4,"1","1",0,0,0,0,-1,3.48,13,0.266,3,-1,2,1,0,0,"10","8"
"1",21,"0","1",7,"0","2",2,0,0,0,2,3.17,52,0.306,14,1,14,9,0,0,"7","8"
"1",17,"0","1",5,"1","2",0,1,0,0,4,3.02,16,0.188,1,1,17,9,0,0,"1","7"
"10",22,"0","1",6,"1","2",0,0,1,1,2,2.84,14,0.223,5,-1,5,2,0,0,"1","1"
"7",7,"0","1",2,"2","2",1,0,0,0,0,1.94,30,0.241,3,-1,10,4,0,0,"10","10"
"10",12,"0","1",3,"1","2",2,1,0,0,-1,3.36,61,0.312,16,1,9,7,0,0,"7","10"
"10",5,"0","1",2,"0","2",0,0,0,0,2,3.39,4,0.238,3,-1,11,6,0,0,"7","1"
"10",20,"0","1",5,"0","2",1,0,0,0,4,2.98,59,0.289,14,-1,14,6,0,0,"10","1"
"2",15,"0","1",4,"1","1",0,0,0,0,-1,3.31,3,0.308,1,1,2,0,0,0,"2","8"
"10",10,"0","0",2,"1","2",1,0,1,0,-1,3.38,20,0.292,2,1,7,2,0,0,"1","1"
"7",8,"0","1",2,"2","1",1,0,0,0,-1,2.96,17,0.258,2,-1,16,7,0,0,"8","1"
"1",21,"0","1",5,"2","0",2,0,0,0,4,0,0,0,0,-1,0,0,0,0,"10","10"
"7",6,"0","1",2,"1","1",0,0,0,0,-1,3.27,3,0.438,0,-1,1,0,0,0,"1","7"
"7",10,"0","1",3,"2","0",0,0,0,0,1,0,0,0,0,-1,0,0,0,0,"8","1"
"1",24,"0","1",6,"2","2",2,0,0,0,-1,0,0,0,0,1,0,0,0,0,"1","1"
"10",25,"0","1",7,"1","2",1,1,0,0,-1,2.14,44,0.235,17,1,10,5,0,0,"1","1"
"1",14,"0","1",5,"1","1",0,0,0,0,0,1.88,41,0.225,17,1,7,2,0,0,"1","10"
"10",24,"0","1",7,"1","2",1,0,0,0,6,2.12,11,0.261,2,-1,6,2,0,0,"10","1"
"7",14,"0","1",4,"2","1",1,1,0,0,4,2.17,16,0.317,2,-1,6,2,0,0,"7","7"
"10",2,"0","1",1,"1","2",1,0,0,0,0,1.29,1,0.286,0,-1,1,0,0,0,"2","7"
"2",20,"0","1",6,"2","2",0,0,0,0,6,2.12,0,0.34,0,-1,6,2,0,0,"2","2"
"7",4,"0","1",4,"2","0",1,1,0,0,0,3.33,38,0.262,15,-1,9,5,0,0,"7","2"
"1",18,"0","0",6,"0","2",0,0,0,0,1,3.28,1,0.5,0,1,12,6,6,6,"1","1"
"1",21,"0","1",6,"2","2",2,1,0,1,0,4.5,10,0.216,3,1,1,1,0,0,"1","1"
"1",1,"0","1",1,"3","2",0,0,0,0,0,3.02,60,0.29,13,1,17,9,0,0,"1","7"
"1",16,"0","1",4,"1","2",0,0,0,0,-1,2.25,11,0.29,1,-1,12,7,0,0,"10","7"
"1",18,"0","1",5,"2","1",2,1,1,0,4,2.44,7,0.176,2,1,12,8,0,0,"7","7"
"10",25,"0","1",7,"1","2",1,0,0,0,2,2.44,24,0.21,4,1,12,8,0,0,"1","7"
"1",27,"0","0",6,"0","2",2,1,0,0,-1,3.48,0,0,0,-1,2,1,1,1,"1","1"
"1",9,"0","1",2,"3","2",1,0,0,0,0,0,0,0,0,-1,0,0,0,0,"1","7"
"1",14,"0","1",4,"2","1",2,0,0,0,2,3.73,17,0.304,2,1,2,1,0,0,"7","8"
"1",2,"0","1",1,"1","2",1,0,0,0,1,4.63,0,0,0,-1,1,1,0,0,"1","7"
"10",8,"0","0",2,"1","1",1,0,0,0,-2,2.9,20,0.29,1,1,9,5,0,0,"2","2"
"1",9,"0","0",2,"1","1",2,1,0,0,0,3.64,0,0,0,-1,2,2,2,0,"1","1"
"1",13,"0","0",3,"2","1",2,1,1,0,-1,3.04,28,0.248,10,1,7,4,0,0,"1","7"
"7",9,"0","1",2,"1","1",0,0,0,0,-3,2.91,3,0.196,1,-1,18,9,15,8,"7","1"
"1",9,"0","1",3,"1","1",0,0,0,0,4,3.47,0,0.053,0,-1,10,7,5,4,"1","2"
"7",13,"0","1",5,"3","2",0,0,0,0,4,3.05,74,0.255,25,1,17,7,0,0,"10","1"
"10",26,"0","1",7,"2","2",0,0,0,0,-2,3.21,10,0.2,3,-1,13,8,0,0,"7","1"
"10",22,"0","1",6,"2","2",0,1,0,0,2,2.49,88,0.243,19,-1,13,8,0,0,"10","7"
"10",1,"0","1",1,"0","2",0,0,0,0,1,3.16,17,0.277,0,-1,11,5,0,0,"1","1"
"1",7,"0","1",2,"1","1",2,0,0,0,0,3.73,12,0.205,3,1,2,1,0,0,"1","1"
"2",27,"0","0",9,"1","2",1,0,0,0,3,3.17,60,0.29,15,1,14,9,0,0,"10","1"
"7",26,"0","1",7,"2","2",2,1,0,0,6,2.12,0,0,0,-1,6,2,0,0,"1","10"
"7",19,"0","1",4,"3","2",2,0,0,0,1,2.97,77,0.284,13,-1,16,9,0,0,"1","1"
"7",22,"0","1",6,"2","2",0,0,0,0,4,0,0,0,0,-1,0,0,0,0,"7","7"
"1",21,"0","1",6,"1","1",2,0,0,0,2,3.73,17,0.32,1,1,2,1,0,0,"10","7"
"2",14,"0","1",4,"3","2",2,0,0,0,5,2.57,32,0.23,11,-1,14,9,0,0,"7","2"
"7",25,"0","1",7,"3","2",0,0,0,0,6,0,2,0.5,1,-1,0,0,0,0,"7","1"
"2",21,"0","0",4,"1","2",2,1,1,0,-4,2.9,33,0.319,9,1,9,5,0,0,"7","7"
"1",2,"0","1",1,"1","1",1,0,0,0,0,3.05,57,0.246,13,1,17,7,0,0,"1","1"
"7",12,"0","1",3,"3","2",0,0,0,0,1,3.33,72,0.339,21,-1,9,5,0,0,"10","7"
"7",3,"0","1",1,"2","2",2,0,0,0,0,2.97,52,0.294,15,-1,16,6,0,0,"10","10"
"1",8,"0","1",1,"2","2",2,0,1,0,-4,3.19,0,0.143,0,1,12,7,0,0,"10","1"
"1",22,"0","1",7,"1","2",0,0,0,0,0,4.5,8,0.295,2,1,1,1,0,0,"1","1"
"1",8,"0","1",2,"1","2",0,0,0,0,-2,1.29,0,0.333,0,-1,1,0,0,0,"2","7"
"1",16,"0","1",4,"2","1",2,0,0,0,-2,2.88,18,0.225,6,1,18,8,0,0,"1","1"
"2",19,"0","1",5,"3","2",1,0,0,0,1,2.84,27,0.266,8,-1,18,8,0,0,"2","7"
