"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"7",7,"1","1",3,"0","2",0,0,0,0,7,3.87,21,0.241,6,-1,6,4,0,0,"7","1"
"8",20,"1","1",5,"2","2",0,1,0,0,1,2.33,13,0.234,3,1,1,1,0,0,"1","7"
"8",7,"1","1",3,"2","2",0,0,0,0,3,3.07,50,0.294,3,-1,14,4,0,0,"7","1"
"8",15,"1","0",4,"0","2",2,0,0,0,0,3.4,1,0.167,0,-1,8,4,0,0,"7","8"
"7",5,"1","0",2,"2","2",0,0,0,0,0,3.24,35,0.221,15,-1,13,4,0,0,"8","1"
"1",3,"1","1",1,"2","2",2,0,0,0,0,3.57,45,0.28,15,-1,7,4,0,0,"8","7"
"1",4,"1","1",1,"1","1",1,1,0,0,1,2.82,66,0.266,14,-1,18,7,0,0,"7","7"
"1",1,"1","0",1,"1","1",0,0,0,0,0,3.37,27,0.289,1,1,12,3,0,0,"1","1"
"7",25,"1","1",6,"0","2",1,0,1,0,0,2.31,14,0.212,4,-1,11,8,0,0,"1","7"
"1",4,"1","0",1,"1","1",2,1,0,0,4,3.26,70,0.23,24,-1,15,5,0,0,"1","1"
"1",18,"1","1",5,"1","1",0,1,0,0,1,2.91,2,0.214,1,-1,12,11,5,0,"1","1"
"1",24,"1","1",5,"0","2",1,1,0,1,0,2.88,5,0.247,1,-1,11,11,0,0,"1","1"
"1",26,"1","1",7,"1","1",1,1,0,0,0,2.88,19,0.21,4,-1,16,7,0,0,"7","7"
"1",3,"1","1",1,"2","0",0,1,0,0,0,3.29,35,0.305,10,-1,8,4,0,0,"7","1"
"8",23,"1","1",7,"1","2",0,0,0,0,6,4.15,1,0.125,0,-1,1,0,0,0,"1","1"
"1",24,"1","0",8,"3","2",0,0,0,0,4,2.13,5,0.195,1,-1,6,5,0,0,"8","1"
"8",13,"1","0",4,"2","2",0,0,0,0,1,2.33,10,0.25,4,1,1,1,0,0,"8","1"
"8",22,"1","0",6,"2","2",2,0,1,0,0,2.08,14,0.221,4,1,3,1,0,0,"1","1"
"7",1,"1","0",1,"1","2",0,0,0,0,1,3.4,23,0.298,2,-1,8,4,0,0,"1","1"
"7",20,"1","0",4,"1","2",2,1,0,0,0,2.57,4,0.3,0,-1,0,0,0,0,"1","1"
"1",1,"1","0",6,"0","2",0,0,0,0,-2,3.03,49,0.299,13,-1,10,6,0,0,"7","1"
"1",5,"1","0",1,"1","2",2,1,1,0,0,0.66,2,0.429,1,-1,0,1,0,0,"1","8"
"8",19,"1","1",5,"0","2",0,0,0,0,2,2.82,63,0.317,19,-1,18,7,0,0,"8","1"
"7",23,"1","0",6,"3","2",2,0,0,0,3,2.92,49,0.284,11,-1,10,6,0,0,"1","8"
"1",23,"1","0",6,"1","2",0,1,0,0,3,3.26,41,0.247,6,-1,15,5,0,0,"8","8"
"1",5,"1","0",2,"1","1",0,0,0,0,0,3.24,35,0.221,15,-1,13,4,0,0,"10","1"
"1",18,"1","1",6,"2","1",1,0,0,0,6,4.01,0,0,0,-1,4,3,0,0,"1","1"
"1",10,"1","0",3,"2","1",0,1,0,0,2,2.94,7,0.242,1,-1,10,6,0,0,"1","1"
"7",26,"1","1",8,"3","2",1,0,1,0,1,0,1,0.25,0,1,0,0,0,0,"1","8"
"8",31,"1","1",8,"2","2",2,1,0,0,5,4.05,5,0.27,3,-1,5,4,0,0,"7","1"
"7",12,"1","1",3,"1","2",1,0,0,0,0,3.55,17,0.301,4,-1,3,1,0,0,"8","1"
"8",22,"1","0",6,"0","2",1,1,0,0,1,0,0,0,0,-1,0,0,0,0,"1","1"
"1",4,"1","1",2,"0","2",0,0,0,0,3,1.99,25,0.284,8,-1,3,3,0,0,"1","7"
"1",22,"1","0",5,"3","0",0,0,0,1,-1,3.27,40,0.25,13,-1,13,3,0,0,"8","1"
"1",23,"1","1",6,"2","2",1,0,0,0,-2,1.51,14,0.364,4,-1,6,3,0,0,"8","7"
"1",1,"1","0",1,"1","1",0,0,0,0,0,3.15,40,0.319,7,1,17,5,0,0,"1","1"
"1",9,"1","1",3,"1","2",1,0,0,0,0,2.08,10,0.233,4,1,3,1,0,0,"1","7"
"1",10,"1","0",3,"2","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"8","1"
"8",13,"1","1",4,"2","2",0,0,0,0,-2,0.66,4,0.231,2,-1,0,1,0,0,"1","1"
"1",7,"1","0",2,"2","2",2,0,0,0,0,0,0,0,0,-1,0,0,0,0,"1","8"
"1",20,"1","1",6,"1","1",2,0,0,0,1,0,1,0,0,1,0,0,0,0,"7","1"
"8",24,"1","1",6,"1","2",0,0,0,0,6,2.95,21,0.249,7,-1,12,7,0,0,"1","7"
"1",12,"1","0",3,"1","1",2,0,0,0,2,2.89,58,0.281,10,-1,11,11,0,0,"8","1"
"8",19,"1","0",6,"3","2",0,0,0,0,6,4.05,17,0.319,5,-1,5,4,0,0,"1","1"
"1",11,"1","0",3,"2","2",0,0,0,0,1,2.59,12,0.282,4,-1,6,1,0,0,"8","10"
"1",9,"1","1",3,"1","2",2,0,0,0,3,1.99,0,0.2,0,-1,3,3,1,6,"7","1"
"1",13,"1","0",3,"0","2",2,0,1,1,-1,2.92,63,0.272,9,-1,10,6,0,0,"10","1"
"1",22,"1","0",6,"0","2",0,0,0,0,0,1.85,45,0.237,17,-1,6,4,0,0,"10","10"
"8",22,"1","1",5,"0","2",1,1,1,1,2,3.25,63,0.265,16,1,15,5,0,0,"8","7"
"1",29,"1","1",8,"1","1",2,0,0,0,1,2.85,22,0.269,2,-1,11,6,0,0,"1","7"
"1",2,"1","0",1,"2","0",0,1,0,0,0,2.88,42,0.278,13,-1,16,7,0,0,"8","10"
"1",15,"1","0",4,"2","1",2,0,0,0,0,3.3,25,0.219,5,-1,9,5,0,0,"1","1"
"1",21,"1","0",5,"2","0",0,1,0,0,3,1.72,11,0.296,2,1,4,1,0,0,"8","8"
"1",11,"1","1",2,"2","0",0,1,0,1,-3,3.15,5,0.326,0,-1,2,0,0,0,"1","1"
"7",16,"1","1",4,"1","1",2,0,0,0,-2,4.15,7,0.227,1,-1,4,2,0,0,"7","7"
"7",3,"1","1",1,"1","2",1,0,0,0,0,2.78,70,0.309,7,-1,17,7,0,0,"1","1"
"1",24,"1","1",6,"1","1",1,0,1,0,4,2.45,19,0.355,4,-1,2,1,0,0,"7","8"
"8",18,"1","1",5,"1","1",2,0,0,0,0,2.08,10,0.233,4,1,3,1,0,0,"10","1"
"8",1,"1","0",1,"1","2",0,0,0,0,0,1.51,10,0.269,0,-1,6,3,0,0,"1","1"
"8",16,"1","0",5,"1","2",0,0,0,0,0,1.75,13,0.262,1,-1,4,3,0,0,"1","1"
"1",20,"1","1",5,"3","2",2,0,0,0,4,2.78,55,0.27,13,-1,16,7,0,0,"8","1"
"1",18,"1","0",5,"0","2",0,1,0,0,-1,3,11,0.158,3,-1,6,1,0,0,"1","1"
