"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"CH",1,"0","1",1,"2","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FT"
"CH",1,"0","1",1,"2","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"CH","FT"
"FT",2,"0","1",1,"1","1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FT"
"FT",2,"0","1",1,"1","2",1,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FT"
"FT",3,"0","0",1,"2","0",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FT"
"FT",3,"0","0",1,"3","0",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FT"
"CH",3,"0","0",1,"3","1",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FT"
"FT",4,"0","1",2,"1","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FT"
"CH",4,"0","1",2,"1","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FT"
"CH",4,"0","1",2,"1","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"CH","FT"
"FT",7,"0","0",3,"2","0",0,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","FT"
"FT",7,"0","0",3,"3","0",0,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","FT"
"CH",8,"0","1",3,"1","1",0,1,0,0,2,0,0,0,0,1,0,0,0,0,"FT","CH"
"FT",9,"0","1",3,"1","1",0,1,1,0,2,0,0,0,0,1,0,0,0,0,"FT","CH"
"SL",10,"0","1",3,"0","2",1,0,1,1,2,0,0,0,0,1,0,0,0,0,"CH","CH"
"SL",10,"0","1",3,"1","2",1,0,1,1,2,0,0,0,0,1,0,0,0,0,"SL","CH"
"FT",10,"0","1",3,"1","2",1,0,1,1,2,0,0,0,0,1,0,0,0,0,"SL","SL"
"CH",12,"0","0",3,"1","1",2,1,0,0,0,0,0,0,0,1,0,0,0,0,"SL","FT"
"SL",12,"0","0",3,"1","2",2,1,0,0,0,0,0,0,0,1,0,0,0,0,"CH","SL"
"CH",12,"0","0",3,"2","2",2,1,0,0,0,0,0,0,0,1,0,0,0,0,"SL","CH"
"FT",12,"0","0",3,"3","2",2,1,0,0,0,0,0,0,0,1,0,0,0,0,"CH","SL"
"CH",13,"0","1",4,"1","1",0,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","CH"
"FT",13,"0","1",4,"1","2",0,0,0,0,2,0,0,0,0,1,0,0,0,0,"CH","FT"
"FT",14,"0","1",4,"0","2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,"SL","CH"
"FT",14,"0","1",4,"1","2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","SL"
"CH",14,"0","1",4,"1","2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","FT"
"FT",17,"0","1",5,"1","1",0,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","CH"
"SL",17,"0","1",5,"1","2",0,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","FT"
"FT",18,"0","1",5,"1","1",1,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","CH"
"SL",18,"0","1",5,"1","2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","FT"
"CH",18,"0","1",5,"2","2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,"SL","FT"
"FT",18,"0","1",5,"3","2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,"CH","SL"
"FT",18,"0","1",5,"3","2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","CH"
"CH",19,"0","1",5,"1","1",2,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","CH"
"CH",19,"0","1",5,"1","2",2,0,0,0,2,0,0,0,0,1,0,0,0,0,"CH","FT"
"FT",20,"0","1",6,"1","1",0,0,0,0,2,0,0,0,0,1,0,0,0,0,"CH","CH"
"CH",20,"0","1",6,"2","1",0,0,0,0,2,0,0,0,0,1,0,0,0,0,"FT","CH"
"SL",21,"0","0",6,"0","2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,"SL","FT"
"SL",21,"0","0",6,"0","2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,"SL","SL"
