"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"CU",1,"0","0",1,"0","2",0,0,0,0,0,1.35,7,0.252,0,-1,1,0,0,0,"FF","FF"
"FF",1,"0","0",1,"1","2",0,0,0,0,0,1.35,7,0.252,0,-1,1,0,0,0,"CU","FF"
"SL",1,"0","0",1,"1","2",0,0,0,0,0,1.35,7,0.252,0,-1,1,0,0,0,"FF","CU"
"SL",2,"0","1",1,"0","2",1,0,0,0,0,1.35,23,0.292,5,-1,1,0,0,0,"FF","FF"
"FF",3,"0","1",1,"0","2",1,0,0,0,0,1.35,16,0.277,4,-1,1,0,0,0,"CU","FF"
"SL",5,"0","1",2,"1","1",0,0,0,0,0,1.35,0,0.667,0,-1,1,0,0,0,"SL","FF"
"SL",5,"0","1",2,"1","2",0,0,0,0,0,1.35,0,0.667,0,-1,1,0,0,0,"SL","SL"
"FF",6,"0","1",2,"2","0",0,1,0,0,0,1.35,17,0.236,4,-1,1,0,0,0,"SL","FF"
"FF",6,"0","1",2,"3","0",0,1,0,0,0,1.35,17,0.236,4,-1,1,0,0,0,"FF","SL"
"FF",6,"0","1",2,"3","1",0,1,0,0,0,1.35,17,0.236,4,-1,1,0,0,0,"FF","FF"
"FF",8,"0","1",3,"0","2",0,0,0,0,0,1.35,5,0.25,1,-1,1,0,0,0,"CU","FF"
"SL",8,"0","1",3,"0","2",0,0,0,0,0,1.35,5,0.25,1,-1,1,0,0,0,"FF","CU"
"CU",8,"0","1",3,"1","2",0,0,0,0,0,1.35,5,0.25,1,-1,1,0,0,0,"SL","FF"
"FF",9,"0","1",3,"0","2",1,0,0,0,0,1.35,0,0,0,-1,1,0,0,0,"FF","FF"
"FF",10,"0","0",3,"1","1",2,0,0,0,0,1.35,7,0.252,0,-1,1,0,0,0,"CU","FF"
"FF",10,"0","0",3,"2","1",2,0,0,0,0,1.35,7,0.252,0,-1,1,0,0,0,"FF","CU"
"FF",11,"0","1",4,"0","2",0,0,0,0,0,1.35,23,0.292,5,-1,1,0,0,0,"CU","FF"
"CU",14,"0","1",4,"0","2",1,1,1,0,0,1.35,0,0.667,0,-1,1,0,0,0,"FF","FF"
"SL",14,"0","1",4,"1","2",1,1,1,0,0,1.35,0,0.667,0,-1,1,0,0,0,"CU","FF"
"FF",15,"0","1",4,"1","1",2,1,1,0,0,1.35,17,0.236,4,-1,1,0,0,0,"SL","SL"
"FF",15,"0","1",4,"2","1",2,1,1,0,0,1.35,17,0.236,4,-1,1,0,0,0,"FF","SL"
"CU",15,"0","1",4,"2","2",2,1,1,0,0,1.35,17,0.236,4,-1,1,0,0,0,"FF","FF"
"SL",16,"0","1",5,"0","2",0,0,0,0,0,1.35,8,0.269,4,-1,1,0,0,0,"CU","FF"
"SL",16,"0","1",5,"1","2",0,0,0,0,0,1.35,8,0.269,4,-1,1,0,0,0,"SL","CU"
"CU",17,"0","1",5,"0","2",1,0,0,0,0,1.35,5,0.25,1,-1,1,0,0,0,"SL","SL"
"FF",18,"0","1",5,"1","1",1,0,0,0,0,1.35,0,0,0,-1,1,0,0,0,"FF","FF"
"SL",21,"0","1",6,"0","2",0,0,0,0,3,1.35,16,0.277,4,-1,1,0,0,0,"SL","SL"
"FF",21,"0","1",6,"0","2",0,0,0,0,3,1.35,16,0.277,4,-1,1,0,0,0,"SL","SL"
"CU",22,"0","0",6,"1","1",0,1,0,0,3,1.35,19,0.324,5,-1,1,0,0,0,"SL","SL"
"FF",22,"0","0",6,"2","1",0,1,0,0,3,1.35,19,0.324,5,-1,1,0,0,0,"CU","SL"
"FF",23,"0","1",6,"1","1",1,1,1,0,3,1.35,0,0.667,0,-1,1,0,0,0,"CU","FF"
