"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"FF",1,"0","1",1,"1","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FF"
"FT",1,"0","1",1,"1","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FT"
"FT",1,"0","1",1,"2","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FF"
"SL",2,"0","1",1,"0","2",0,0,0,0,0,0,5,0.429,2,1,0,0,0,0,"FF","FF"
"FF",2,"0","1",1,"2","2",0,0,0,0,0,0,5,0.429,2,1,0,0,0,0,"FF","SL"
"FT",2,"0","1",1,"3","2",0,0,0,0,0,0,5,0.429,2,1,0,0,0,0,"FF","FF"
"FT",2,"0","1",1,"3","2",0,0,0,0,0,0,5,0.429,2,1,0,0,0,0,"FT","FF"
"FT",2,"0","1",1,"3","2",0,0,0,0,0,0,5,0.429,2,1,0,0,0,0,"FT","FT"
"SL",5,"0","0",2,"1","1",0,1,0,0,1,0,3,0.462,1,1,0,0,0,0,"SL","FT"
"SL",5,"0","0",2,"1","2",0,1,0,0,1,0,3,0.462,1,1,0,0,0,0,"SL","SL"
"SL",5,"0","0",2,"2","2",0,1,0,0,1,0,3,0.462,1,1,0,0,0,0,"SL","SL"
"FT",5,"0","0",2,"3","2",0,1,0,0,1,0,3,0.462,1,1,0,0,0,0,"SL","SL"
"CH",7,"0","1",2,"1","1",0,0,1,0,0,0,1,0.182,0,1,0,0,0,0,"FT","CH"
"CH",7,"0","1",2,"1","2",0,0,1,0,0,0,1,0.182,0,1,0,0,0,0,"CH","FT"
"FF",7,"0","1",2,"2","2",0,0,1,0,0,0,1,0.182,0,1,0,0,0,0,"CH","CH"
"CH",7,"0","1",2,"3","2",0,0,1,0,0,0,1,0.182,0,1,0,0,0,0,"FF","CH"
"FT",8,"0","1",2,"2","0",1,1,1,0,0,0,2,0.154,0,1,0,0,0,0,"CH","FT"
"FT",8,"0","1",2,"3","0",1,1,1,0,0,0,2,0.154,0,1,0,0,0,0,"FT","CH"
"FT",8,"0","1",2,"3","1",1,1,1,0,0,0,2,0.154,0,1,0,0,0,0,"FT","FT"
"FT",8,"0","1",2,"3","2",1,1,1,0,0,0,2,0.154,0,1,0,0,0,0,"FT","FT"
"FT",8,"0","1",2,"3","2",1,1,1,0,0,0,2,0.154,0,1,0,0,0,0,"FT","FT"
"SL",9,"0","1",2,"0","2",2,0,1,1,0,0,0,1,0,1,0,0,0,0,"FF","CH"
"FT",11,"0","1",3,"1","2",1,0,0,0,0,0,5,0.429,2,1,0,0,0,0,"FC","FF"
"SL",11,"0","1",3,"2","2",1,0,0,0,0,0,5,0.429,2,1,0,0,0,0,"FT","FC"
"CH",11,"0","1",3,"3","2",1,0,0,0,0,0,5,0.429,2,1,0,0,0,0,"SL","FT"
"FT",12,"0","1",3,"1","1",1,0,0,0,0,0,1,0.176,0,1,0,0,0,0,"FT","SL"
"SL",13,"0","1",3,"2","0",1,0,1,0,0,0,1,0.143,0,1,0,0,0,0,"CH","CH"
"FF",13,"0","1",3,"2","1",1,0,1,0,0,0,1,0.143,0,1,0,0,0,0,"SL","CH"
"CH",13,"0","1",3,"3","1",1,0,1,0,0,0,1,0.143,0,1,0,0,0,0,"FF","SL"
"CH",13,"0","1",3,"3","2",1,0,1,0,0,0,1,0.143,0,1,0,0,0,0,"CH","FF"
"FT",14,"0","0",3,"1","1",1,1,1,0,0,0,3,0.462,1,1,0,0,0,0,"SL","SL"
"CH",15,"0","1",3,"1","1",2,1,1,1,0,0,1,0.133,0,1,0,0,0,0,"SL","SL"
"FT",17,"0","1",4,"1","1",1,0,0,0,0,0,2,0.154,0,1,0,0,0,0,"CH","FF"
"SL",17,"0","1",4,"1","2",1,0,0,0,0,0,2,0.154,0,1,0,0,0,0,"FT","CH"
"FF",18,"0","1",4,"2","0",2,0,0,0,0,0,0,1,0,1,0,0,0,0,"FF","SL"
"FT",18,"0","1",4,"2","1",2,0,0,0,0,0,0,1,0,1,0,0,0,0,"FF","FF"
"FF",18,"0","1",4,"3","1",2,0,0,0,0,0,0,1,0,1,0,0,0,0,"FT","FF"
"CH",19,"0","1",5,"1","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FT"
"SL",19,"0","1",5,"1","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"CH","FT"
"CH",19,"0","1",5,"1","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"SL","CH"
"FT",19,"0","1",5,"2","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"CH","SL"
"SL",20,"0","1",5,"0","2",0,0,1,0,0,0,5,0.429,2,1,0,0,0,0,"FC","CH"
"CH",20,"0","1",5,"0","2",0,0,1,0,0,0,5,0.429,2,1,0,0,0,0,"SL","FC"
"SL",21,"0","1",5,"0","2",1,0,1,0,0,0,1,0.176,0,1,0,0,0,0,"FC","FT"
"CH",21,"0","1",5,"1","2",1,0,1,0,0,0,1,0.176,0,1,0,0,0,0,"SL","FC"
"SL",22,"0","1",5,"1","1",1,0,1,0,-1,0,1,0.143,0,1,0,0,0,0,"CH","SL"
"CH",1,"0","1",1,"1","1",0,0,0,0,0,7.2,5,0.325,4,-1,0,1,0,0,"FC","FF"
"FT",5,"0","1",2,"2","0",0,0,0,0,0,7.2,6,0.281,0,-1,0,1,0,0,"FT","FF"
"FF",7,"0","0",2,"0","2",2,0,0,0,0,7.2,0,0.1,0,-1,0,1,0,0,"SL","FC"
"SL",7,"0","0",2,"1","2",2,0,0,0,0,7.2,0,0.1,0,-1,0,1,0,0,"FF","SL"
"SL",7,"0","0",2,"2","2",2,0,0,0,0,7.2,0,0.1,0,-1,0,1,0,0,"SL","FF"
"FT",7,"0","0",2,"3","2",2,0,0,0,0,7.2,0,0.1,0,-1,0,1,0,0,"SL","SL"
"CH",9,"0","1",3,"1","1",0,0,0,0,0,7.2,3,0.188,0,-1,0,1,0,0,"FC","FF"
"CH",9,"0","1",3,"1","2",0,0,0,0,0,7.2,3,0.188,0,-1,0,1,0,0,"CH","FC"
"FT",9,"0","1",3,"2","2",0,0,0,0,0,7.2,3,0.188,0,-1,0,1,0,0,"CH","CH"
"FT",9,"0","1",3,"3","2",0,0,0,0,0,7.2,3,0.188,0,-1,0,1,0,0,"FT","CH"
"FF",10,"0","1",3,"1","1",2,1,0,0,0,7.2,5,0.325,4,-1,0,1,0,0,"FT","FF"
"SL",11,"0","1",4,"1","2",0,0,0,0,0,7.2,1,0.455,0,-1,0,1,0,0,"FC","FF"
"FF",11,"0","1",4,"2","2",0,0,0,0,0,7.2,1,0.455,0,-1,0,1,0,0,"SL","FC"
"CH",11,"0","1",4,"2","2",0,0,0,0,0,7.2,1,0.455,0,-1,0,1,0,0,"FF","SL"
