"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"FT",1,"0","1",1,"1","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FC","FF"
"CH",2,"0","1",1,"1","1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FT"
"CH",3,"0","1",1,"0","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"FT","FT"
"FC",4,"0","1",2,"1","1",0,0,0,0,1,0,0,0,0,1,0,0,0,0,"CH","FT"
"FT",4,"0","1",2,"1","2",0,0,0,0,1,0,0,0,0,1,0,0,0,0,"FC","CH"
"FC",4,"0","1",2,"2","2",0,0,0,0,1,0,0,0,0,1,0,0,0,0,"FT","FC"
"FC",6,"0","1",2,"1","1",2,0,0,0,1,0,0,0,0,1,0,0,0,0,"FC","FT"
"FT",7,"0","0",3,"1","1",0,0,0,0,3,0,0,0,0,1,0,0,0,0,"FT","KC"
"FT",7,"0","0",3,"3","1",0,0,0,0,3,0,0,0,0,1,0,0,0,0,"KC","FT"
"FT",7,"0","0",3,"3","2",0,0,0,0,3,0,0,0,0,1,0,0,0,0,"FT","KC"
"CH",8,"0","1",3,"1","1",0,1,0,0,3,0,0,0,0,1,0,0,0,0,"FT","FT"
"FT",8,"0","1",3,"1","2",0,1,0,0,3,0,0,0,0,1,0,0,0,0,"CH","FT"
"FC",8,"0","1",3,"2","2",0,1,0,0,3,0,0,0,0,1,0,0,0,0,"FT","CH"
"FT",8,"0","1",3,"3","2",0,1,0,0,3,0,0,0,0,1,0,0,0,0,"FC","FT"
"FT",9,"0","0",3,"1","1",1,1,1,0,3,0,0,0,0,1,0,0,0,0,"FT","FT"
"FT",10,"0","0",3,"1","1",2,0,0,1,3,0,0,0,0,1,0,0,0,0,"FT","FT"
"FC",11,"0","1",4,"0","2",0,0,0,0,4,0,0,0,0,1,0,0,0,0,"FC","FF"
"CH",11,"0","1",4,"0","2",0,0,0,0,4,0,0,0,0,1,0,0,0,0,"FC","FC"
"FT",12,"0","1",4,"0","2",0,1,0,0,4,0,0,0,0,1,0,0,0,0,"FF","FT"
"FT",13,"0","1",4,"1","1",0,1,1,0,4,0,0,0,0,1,0,0,0,0,"CH","FT"
"FC",14,"0","1",4,"0","2",1,1,1,0,4,0,0,0,0,1,0,0,0,0,"FT","FT"
"FC",15,"0","1",4,"0","2",2,1,0,1,4,0,0,0,0,1,0,0,0,0,"FF","FT"
"FT",15,"0","1",4,"0","2",2,1,0,1,4,0,0,0,0,1,0,0,0,0,"FC","FF"
"FT",15,"0","1",4,"1","2",2,1,0,1,4,0,0,0,0,1,0,0,0,0,"FT","FC"
