"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"SI",1,"1","0",1,"2","0",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,"SI","SI"
"CH",3,"1","1",1,"1","1",0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"SI","SI"
"CH",3,"1","1",1,"2","1",0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"CH","SI"
"FF",3,"1","1",1,"2","2",0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"CH","CH"
"FF",4,"1","0",1,"0","2",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"CH","SI"
"FF",6,"1","0",2,"0","2",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"CU","SI"
"CU",6,"1","0",2,"1","2",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"FF","CU"
"FF",6,"1","0",2,"2","2",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"CU","FF"
"SI",8,"1","1",2,"1","1",2,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"FF","SI"
"CH",8,"1","1",2,"2","1",2,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"SI","FF"
"SI",8,"1","1",2,"2","2",2,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"CH","SI"
"CU",9,"1","0",3,"1","1",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"SI","SI"
"CH",9,"1","0",3,"2","1",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"CU","SI"
"FF",9,"1","0",3,"2","2",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"CH","CU"
"CH",9,"1","0",3,"3","2",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"FF","CH"
"FF",9,"1","0",3,"3","2",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,"CH","FF"
"CH",10,"1","0",3,"0","2",0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,"CU","CH"
"FF",11,"1","1",3,"1","1",1,1,0,0,-1,0,0,0,0,-1,0,0,0,0,"SI","SI"
"CH",12,"1","1",3,"1","1",1,1,0,0,-2,0,0,0,0,-1,0,0,0,0,"CH","SL"
"CU",12,"1","1",3,"1","2",1,1,0,0,-2,0,0,0,0,-1,0,0,0,0,"CH","CH"
"CU",12,"1","1",3,"2","2",1,1,0,0,-2,0,0,0,0,-1,0,0,0,0,"CU","CH"
"FF",12,"1","1",3,"2","2",1,1,0,0,-2,0,0,0,0,-1,0,0,0,0,"CU","CU"
"SI",13,"1","0",3,"1","1",1,0,0,1,-2,0,0,0,0,-1,0,0,0,0,"CH","CH"
"SI",13,"1","0",3,"2","1",1,0,0,1,-2,0,0,0,0,-1,0,0,0,0,"SI","CH"
"SI",13,"1","0",3,"3","1",1,0,0,1,-2,0,0,0,0,-1,0,0,0,0,"SI","SI"
"CH",14,"1","1",3,"1","1",2,1,0,1,-2,0,0,0,0,-1,0,0,0,0,"CH","SI"
"SI",14,"1","1",3,"2","1",2,1,0,1,-2,0,0,0,0,-1,0,0,0,0,"CH","CH"
"SI",14,"1","1",3,"2","2",2,1,0,1,-2,0,0,0,0,-1,0,0,0,0,"SI","CH"
"CH",14,"1","1",3,"3","2",2,0,1,1,-2,0,0,0,0,-1,0,0,0,0,"SI","SI"
"FF",15,"1","0",4,"0","2",0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"SL","CH"
"SI",16,"1","1",4,"2","2",0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"SL","SL"
"CH",17,"1","1",4,"0","2",1,1,0,0,-2,0,0,0,0,-1,0,0,0,0,"CH","SI"
"CH",18,"1","0",4,"0","2",2,1,0,0,-2,0,0,0,0,-1,0,0,0,0,"CU","CH"
"SI",19,"1","0",5,"2","0",0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"CH","CH"
"SI",20,"1","1",5,"1","1",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"CH","SI"
"SI",20,"1","1",5,"1","2",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"SI","CH"
"FF",20,"1","1",5,"1","2",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"SI","SI"
"SI",20,"1","1",5,"1","2",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"FF","SI"
"FF",20,"1","1",5,"2","2",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"SI","FF"
"CH",20,"1","1",5,"2","2",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"FF","SI"
"CH",20,"1","1",5,"3","2",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"CH","FF"
"CH",21,"1","1",5,"1","2",2,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"SL","CH"
"SI",21,"1","1",5,"2","2",2,0,0,0,-2,0,0,0,0,-1,0,0,0,0,"CH","SL"
"CH",24,"1","0",6,"1","2",1,0,1,0,-1,0,0,0,0,-1,0,0,0,0,"SL","FF"
"CH",24,"1","0",6,"2","2",1,0,1,0,-1,0,0,0,0,-1,0,0,0,0,"CH","SL"
"FF",25,"1","1",6,"1","1",2,0,1,0,-1,0,0,0,0,-1,0,0,0,0,"CH","SL"
"CH",25,"1","1",6,"1","2",2,0,1,0,-1,0,0,0,0,-1,0,0,0,0,"FF","CH"
"CU",1,"1","0",1,"1","1",0,0,0,0,0,3,2,0.333,1,-1,1,0,0,0,"CU","CH"
"FF",1,"1","0",1,"1","2",0,0,0,0,0,3,2,0.333,1,-1,1,0,0,0,"CU","CU"
"CH",1,"1","0",1,"1","2",0,0,0,0,0,3,2,0.333,1,-1,1,0,0,0,"FF","CU"
"FF",3,"1","0",1,"0","2",2,0,0,0,0,3,2,0.214,0,-1,1,0,0,0,"SI","CU"
"CH",3,"1","0",1,"0","2",2,0,0,0,0,3,2,0.214,0,-1,1,0,0,0,"FF","SI"
"FF",4,"1","0",2,"0","2",0,0,0,0,0,3,2,0.308,0,-1,1,0,0,0,"CH","CH"
"CH",5,"1","1",2,"1","1",1,0,0,0,0,3,3,0.25,0,-1,1,0,0,0,"SI","SI"
"CH",6,"1","0",2,"0","2",2,0,0,0,0,3,0,0.167,0,-1,1,0,0,0,"CU","SI"
"SI",7,"1","0",3,"1","1",0,0,0,0,0,3,0,0.125,0,-1,1,0,0,0,"CH","CH"
"FF",7,"1","0",3,"1","2",0,0,0,0,0,3,0,0.125,0,-1,1,0,0,0,"SI","CH"
