"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"SL",1,"1","0",1,"1","1",0,0,0,0,0,0,10,0.265,1,1,0,0,0,0,"SI","SI"
"SI",2,"1","1",1,"0","2",1,0,0,0,0,0,11,0.221,3,1,0,0,0,0,"SL","SI"
"CU",3,"1","1",1,"1","1",1,0,0,0,0,0,17,0.282,2,1,0,0,0,0,"FF","SI"
"CU",3,"1","1",1,"1","2",1,0,0,0,0,0,17,0.282,2,1,0,0,0,0,"CU","FF"
"SI",3,"1","1",1,"2","2",1,0,0,0,0,0,17,0.282,2,1,0,0,0,0,"CU","CU"
"SI",3,"1","1",1,"3","2",1,0,0,0,0,0,17,0.282,2,1,0,0,0,0,"SI","CU"
"SI",4,"1","0",1,"1","1",1,1,0,0,0,0,8,0.318,2,1,0,0,0,0,"SI","SI"
"SL",5,"1","1",1,"0","2",2,1,0,1,0,0,15,0.346,4,1,0,0,0,0,"SI","CU"
"SL",6,"1","1",2,"1","1",0,0,0,0,0,0,15,0.208,7,1,0,0,0,0,"SI","SI"
"CU",6,"1","1",2,"1","2",0,0,0,0,0,0,15,0.208,7,1,0,0,0,0,"SL","SI"
"FF",7,"1","0",2,"1","1",0,1,0,0,0,0,10,0.268,1,1,0,0,0,0,"SI","SI"
"SL",7,"1","0",2,"1","2",0,1,0,0,0,0,10,0.268,1,1,0,0,0,0,"FF","SI"
"SI",7,"1","0",2,"1","2",0,1,0,0,0,0,10,0.268,1,1,0,0,0,0,"SL","FF"
"SI",7,"1","0",2,"2","2",0,1,0,0,0,0,10,0.268,1,1,0,0,0,0,"SI","SL"
"SI",7,"1","0",2,"3","2",0,1,0,0,0,0,10,0.268,1,1,0,0,0,0,"SI","SI"
"SI",8,"1","0",2,"2","0",0,1,1,0,0,0,0,0.2,0,1,0,0,0,0,"FF","CU"
"SI",8,"1","0",2,"2","1",0,1,1,0,0,0,0,0.2,0,1,0,0,0,0,"SI","FF"
"SI",8,"1","0",2,"2","2",0,1,1,0,0,0,0,0.2,0,1,0,0,0,0,"SI","SI"
"SL",10,"1","0",2,"0","2",2,1,1,0,0,0,10,0.265,1,1,0,0,0,0,"SI","CU"
"FF",10,"1","0",2,"0","2",2,1,1,0,0,0,10,0.265,1,1,0,0,0,0,"SL","SI"
"SL",10,"1","0",2,"1","2",2,1,1,0,0,0,10,0.265,1,1,0,0,0,0,"FF","SL"
"SI",12,"1","1",3,"0","2",1,0,0,0,0,0,17,0.282,2,1,0,0,0,0,"SL","SI"
"SL",12,"1","1",3,"1","2",1,0,0,0,0,0,17,0.282,2,1,0,0,0,0,"SI","SL"
"SL",13,"1","0",3,"1","1",1,0,0,0,0,0,8,0.318,2,1,0,0,0,0,"SI","SI"
"FF",14,"1","1",3,"0","2",2,1,0,0,0,0,15,0.346,4,1,0,0,0,0,"SI","SI"
"SL",14,"1","1",3,"1","2",2,1,0,0,0,0,15,0.346,4,1,0,0,0,0,"FF","SI"
"SI",14,"1","1",3,"2","2",2,1,0,0,0,0,15,0.346,4,1,0,0,0,0,"SL","FF"
"SL",16,"1","0",4,"1","1",1,0,0,0,0,0,10,0.268,1,1,0,0,0,0,"FF","FF"
