"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"CU",4,"1","1",1,"0","2",1,1,1,0,0,0,0,0,0,1,0,0,0,0,"FF","FF"
"CU",4,"1","1",1,"0","2",1,1,1,0,0,0,0,0,0,1,0,0,0,0,"CU","FF"
"CU",5,"1","0",1,"0","2",2,1,1,0,0,0,0,0,0,1,0,0,0,0,"FF","CU"
"CU",5,"1","0",1,"0","2",2,1,1,0,0,0,0,0,0,1,0,0,0,0,"CU","FF"
"CU",5,"1","0",1,"1","2",2,1,1,0,0,0,0,0,0,1,0,0,0,0,"CU","CU"
"CU",5,"1","0",1,"1","2",2,1,1,0,0,0,0,0,0,1,0,0,0,0,"CU","CU"
"CH",5,"1","0",1,"1","2",2,1,1,0,0,0,0,0,0,1,0,0,0,0,"CU","CU"
"FF",6,"1","1",2,"1","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"CU","FF"
"CU",6,"1","1",2,"1","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","CU"
"CU",7,"1","1",2,"0","2",1,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FF"
"FF",8,"1","1",2,"0","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"CU","CU"
"FF",9,"1","0",3,"0","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FF"
"CU",9,"1","0",3,"0","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FF"
"CU",10,"1","0",3,"1","1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,"CU","FF"
"FF",11,"1","1",3,"1","1",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FF"
"FF",11,"1","1",3,"1","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FF"
"CU",11,"1","1",3,"1","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FF"
