"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"FF",1,"0","1",1,"1","2",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,"FF","FF"
"SL",1,"0","1",1,"2","2",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,"FF","FF"
"SL",2,"0","1",1,"2","0",0,0,0,0,0,0,0,0.167,0,-1,0,0,0,0,"FF","FF"
"FF",2,"0","1",1,"2","1",0,0,0,0,0,0,0,0.167,0,-1,0,0,0,0,"SL","FF"
"CU",2,"0","1",1,"2","2",0,0,0,0,0,0,0,0.167,0,-1,0,0,0,0,"FF","SL"
"CU",2,"0","1",1,"2","2",0,0,0,0,0,0,0,0.167,0,-1,0,0,0,0,"CU","FF"
"FF",3,"0","1",1,"2","1",1,1,0,0,0,0,0,0.444,0,-1,0,0,0,0,"CH","SL"
"FF",6,"0","0",2,"1","1",0,1,0,0,0,0,0,0.222,0,-1,0,0,0,0,"SL","FT"
"SL",6,"0","0",2,"2","1",0,1,0,0,0,0,0,0.222,0,-1,0,0,0,0,"FF","SL"
"SL",8,"0","0",2,"2","0",1,1,0,0,0,0,0,0.25,0,-1,0,0,0,0,"FF","FF"
"FF",8,"0","0",2,"3","0",1,1,0,0,0,0,0,0.25,0,-1,0,0,0,0,"SL","FF"
"FF",8,"0","0",2,"3","1",1,1,0,0,0,0,0,0.25,0,-1,0,0,0,0,"FF","SL"
"FF",9,"0","1",2,"2","2",2,1,1,0,0,0,0,0,0,-1,0,0,0,0,"FF","SL"
"CU",9,"0","1",2,"2","2",2,1,1,0,0,0,0,0,0,-1,0,0,0,0,"FF","FF"
"SL",11,"0","1",3,"1","1",1,0,0,0,1,0,0,0.167,0,-1,0,0,0,0,"CH","SL"
"CU",12,"0","1",3,"1","1",1,0,0,0,1,0,0,0.444,0,-1,0,0,0,0,"FF","FF"
"FF",12,"0","1",3,"1","2",1,0,0,0,1,0,0,0.444,0,-1,0,0,0,0,"CU","FF"
"FF",12,"0","1",3,"1","2",1,0,0,0,1,0,0,0.444,0,-1,0,0,0,0,"FF","CU"
"CU",13,"0","1",3,"1","1",2,0,1,0,1,0,2,0.125,0,-1,0,0,0,0,"SL","SL"
"SL",15,"0","0",4,"1","1",0,1,0,0,1,0,0,0.222,0,-1,0,0,0,0,"FF","FF"
"SL",17,"0","0",4,"2","0",0,1,1,1,-1,0,0,0.25,0,-1,0,0,0,0,"FF","CU"
"CU",19,"0","1",4,"1","1",1,0,1,1,-1,0,0,0,0,-1,0,0,0,0,"SL","FF"
"CU",21,"0","1",4,"1","1",2,0,1,0,-3,0,0,0.444,0,-1,0,0,0,0,"SL","FF"
"CU",21,"0","1",4,"2","1",2,0,1,0,-3,0,0,0.444,0,-1,0,0,0,0,"CU","SL"
"SL",21,"0","1",4,"2","2",2,0,1,0,-3,0,0,0.444,0,-1,0,0,0,0,"CU","CU"
"CU",21,"0","1",4,"3","2",2,0,1,0,-3,0,0,0.444,0,-1,0,0,0,0,"SL","CU"
"FF",2,"0","1",1,"0","2",1,0,0,0,0,0,0,0.2,0,-1,0,0,0,0,"FF","FF"
"CU",2,"0","1",1,"1","2",1,0,0,0,0,0,0,0.2,0,-1,0,0,0,0,"FF","FF"
"CU",2,"0","1",1,"2","2",1,0,0,0,0,0,0,0.2,0,-1,0,0,0,0,"CU","FF"
"SL",5,"0","1",2,"1","1",0,0,0,0,1,0,1,0.25,0,-1,0,0,0,0,"CH","SL"
"CU",5,"0","1",2,"1","2",0,0,0,0,1,0,1,0.25,0,-1,0,0,0,0,"FF","SL"
"CU",5,"0","1",2,"2","2",0,0,0,0,1,0,1,0.25,0,-1,0,0,0,0,"CU","FF"
"FF",6,"0","1",2,"1","1",0,0,0,0,1,0,2,0.5,1,-1,0,0,0,0,"SL","FT"
"SL",6,"0","1",2,"3","1",0,0,0,0,1,0,2,0.5,1,-1,0,0,0,0,"FT","FF"
"CU",7,"0","1",2,"1","1",0,1,0,0,0,0,1,0.36,0,-1,0,0,0,0,"SL","CH"
"FF",7,"0","1",2,"1","2",0,1,0,0,0,0,1,0.36,0,-1,0,0,0,0,"CU","SL"
"FF",7,"0","1",2,"2","2",0,1,0,0,0,0,1,0.36,0,-1,0,0,0,0,"FF","CU"
"CU",7,"0","1",2,"2","2",0,1,0,0,0,0,1,0.36,0,-1,0,0,0,0,"FF","FF"
"SL",8,"0","1",2,"2","0",1,0,1,0,0,0,0,0.15,0,-1,0,0,0,0,"CH","FF"
