"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"FF",1,"1","0",1,"3","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FF"
"FF",1,"1","0",1,"3","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FF"
"FF",2,"1","1",1,"1","1",0,1,0,0,0,0,1,0,0,1,0,0,0,0,"FF","SL"
"FF",2,"1","1",1,"2","1",0,1,0,0,0,0,1,0,0,1,0,0,0,0,"FF","FF"
"CH",2,"1","1",1,"2","2",0,1,0,0,0,0,1,0,0,1,0,0,0,0,"FF","FF"
"FF",2,"1","1",1,"3","2",0,1,0,0,0,0,1,0,0,1,0,0,0,0,"CH","FF"
"FF",4,"1","1",1,"2","0",2,1,0,1,0,0,0,0.25,0,1,0,0,0,0,"CH","FF"
"FF",4,"1","1",1,"3","0",2,1,0,1,0,0,0,0.25,0,1,0,0,0,0,"FF","CH"
"FF",7,"1","0",2,"1","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"CU","FF"
"SL",9,"1","1",3,"1","2",1,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","SL"
"FF",10,"1","0",3,"1","1",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","CU"
"CH",10,"1","0",3,"1","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","FF"
"FF",10,"1","0",3,"2","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"CH","FF"
"CH",10,"1","0",3,"2","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"FF","CH"
"CH",10,"1","0",3,"3","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"CH","FF"
"SL",11,"1","1",4,"0","2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,"CH","FF"
"CH",11,"1","1",4,"1","2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,"SL","CH"
"FF",11,"1","1",4,"2","2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,"CH","SL"
"FF",11,"1","1",4,"2","2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,"FF","CH"
"CH",14,"1","0",5,"0","2",0,0,0,0,1,0,0,0,0,1,0,0,0,0,"CH","CU"
"FF",14,"1","0",5,"1","2",0,0,0,0,1,0,0,0,0,1,0,0,0,0,"CH","CH"
"SL",15,"1","1",5,"1","1",0,1,0,0,1,0,1,1,0,1,0,0,0,0,"FF","FF"
"SL",15,"1","1",5,"1","2",0,1,0,0,1,0,1,1,0,1,0,0,0,0,"SL","FF"
"FF",16,"1","0",5,"0","2",1,1,0,0,1,0,0,0,0,1,0,0,0,0,"FF","CU"
"FF",17,"1","1",5,"1","1",2,1,0,0,1,0,1,0.25,0,1,0,0,0,0,"FF","FF"
"FF",17,"1","1",5,"1","2",2,1,0,0,1,0,1,0.25,0,1,0,0,0,0,"FF","FF"
"CH",18,"1","1",6,"0","2",0,0,0,0,1,0,0,0,0,1,0,0,0,0,"FF","SL"
"CH",18,"1","1",6,"1","2",0,0,0,0,1,0,0,0,0,1,0,0,0,0,"CH","FF"
"SL",18,"1","1",6,"2","2",0,0,0,0,1,0,0,0,0,1,0,0,0,0,"CU","CH"
"FF",20,"1","1",6,"1","1",2,0,0,0,1,0,1,0,0,1,0,0,0,0,"SL","FF"
"FF",20,"1","1",6,"2","1",2,0,0,0,1,0,1,0,0,1,0,0,0,0,"FF","SL"
"FF",20,"1","1",6,"3","1",2,0,0,0,1,0,1,0,0,1,0,0,0,0,"FF","FF"
"CH",20,"1","1",6,"3","2",2,0,0,0,1,0,1,0,0,1,0,0,0,0,"FF","FF"
"SL",22,"1","1",7,"1","1",1,0,0,0,1,0,0,0.25,0,1,0,0,0,0,"CU","FF"
"SL",22,"1","1",7,"1","2",1,0,0,0,1,0,0,0.25,0,1,0,0,0,0,"SL","CU"
"FF",23,"1","0",7,"1","1",2,0,0,0,1,0,0,0,0,1,0,0,0,0,"FF","FF"
"FF",23,"1","0",7,"1","2",2,0,0,0,1,0,0,0,0,1,0,0,0,0,"FF","FF"
