"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"FF",1,"1","0",1,"1","2",0,0,0,0,2,0,0,0,0,-1,0,0,0,0,"CU","CU"
"FF",1,"1","0",1,"1","2",0,0,0,0,2,0,0,0,0,-1,0,0,0,0,"FF","CU"
"CH",2,"1","0",1,"2","0",1,0,0,0,2,0,1,1,1,-1,0,0,0,0,"CH","FF"
"FF",2,"1","0",1,"2","1",1,0,0,0,2,0,1,1,1,-1,0,0,0,0,"CH","CH"
"CH",3,"1","0",1,"2","2",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,"CU","CU"
"FF",3,"1","0",1,"3","2",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,"CH","CU"
"CH",4,"1","0",2,"1","1",0,0,0,0,2,0,0,0,0,-1,0,0,0,0,"FF","CH"
"CH",4,"1","0",2,"2","1",0,0,0,0,2,0,0,0,0,-1,0,0,0,0,"CH","FF"
"CH",4,"1","0",2,"2","2",0,0,0,0,2,0,0,0,0,-1,0,0,0,0,"CH","CH"
"CH",4,"1","0",2,"3","2",0,0,0,0,2,0,0,0,0,-1,0,0,0,0,"CH","CH"
"CH",5,"1","1",2,"1","1",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,"CU","SL"
"SL",5,"1","1",2,"1","2",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,"CH","CU"
"CH",5,"1","1",2,"2","2",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,"SL","CH"
"SL",5,"1","1",2,"2","2",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,"CH","SL"
"SL",5,"1","1",2,"3","2",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,"SL","CH"
"FF",6,"1","0",2,"1","1",2,0,0,0,2,0,0,0.333,0,-1,0,0,0,0,"FF","CU"
"FF",6,"1","0",2,"1","2",2,0,0,0,2,0,0,0.333,0,-1,0,0,0,0,"FF","FF"
"FF",6,"1","0",2,"2","2",2,0,0,0,2,0,0,0.333,0,-1,0,0,0,0,"CU","FF"
"SL",6,"1","0",2,"3","2",2,0,0,0,2,0,0,0.333,0,-1,0,0,0,0,"FF","CU"
"FF",7,"1","1",3,"1","1",0,0,0,0,2,0,2,0.5,0,-1,0,0,0,0,"FF","FF"
"FT",8,"1","0",3,"1","1",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,"FT","FF"
"CH",8,"1","0",3,"1","2",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,"FT","FT"
"SL",9,"1","1",3,"1","1",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,"FF","FF"
"FF",9,"1","1",3,"2","1",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,"SL","FF"
"FF",9,"1","1",3,"2","2",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,"FF","SL"
"FF",10,"1","0",4,"2","1",0,0,0,0,3,0,0,0,0,-1,0,0,0,0,"CU","CH"
"CH",11,"1","0",4,"1","1",0,0,0,0,2,0,1,1,1,-1,0,0,0,0,"CH","CU"
"CH",11,"1","0",4,"2","1",0,0,0,0,2,0,1,1,1,-1,0,0,0,0,"CH","CH"
"FF",12,"1","0",4,"1","1",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,"FF","CU"
