"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers"
"Fastball",10,"1","0",3,"0","0",1,0,0,0,-1,4.11,25,0.226,0,-1,6,2,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",8,"1","1",2,"0","0",2,1,0,0,0,0,24,0.181,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",17,"1","0",5,"2","2",1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"1","1",3,"2","1",1,0,0,0,0,4.5,0,0,0,-1,1,2,2,2,0,0,1,0,0,0,0,0,1,0
"Fastball",6,"1","1",2,"0","0",1,1,0,0,0,3.26,31,0.271,9,-1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",11,"1","1",3,"2","2",2,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",17,"1","1",4,"0","1",2,0,0,0,-1,2.89,1,0.077,0,1,3,2,1,3,0,0,0,1,0,1,0,0,0,0
"CurveBall",17,"1","1",4,"1","0",1,0,1,0,-3,2.93,9,0.22,2,-1,2,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",5,"1","0",1,"2","1",1,1,0,1,-1,3.13,23,0.237,6,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",17,"1","0",4,"3","1",0,0,0,0,-1,4.25,31,0.222,4,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",27,"1","0",7,"1","2",1,0,1,1,1,3.13,6,0.268,1,1,2,2,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",27,"1","1",6,"1","1",1,1,1,0,-1,3.38,0,0.152,0,-1,2,1,8,4,0,0,1,0,0,0,0,0,1,0
