"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",13,"1","0",4,"1","1",1,0,0,0,2,3.88,52,0.23,19,-1,3,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","1",1,"1","0",0,0,0,0,0,3,1,0.286,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",20,"1","0",6,"1","0",0,0,0,0,11,4.74,23,0.233,7,1,5,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",25,"1","0",6,"1","2",2,0,0,1,5,4.6,6,0.203,2,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"1","0",1,"1","0",1,0,0,0,1,0,0,0.25,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",13,"1","1",4,"3","2",0,0,0,0,-1,3,3,0.368,1,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"ChangeUp",26,"1","1",6,"1","2",1,1,0,0,-3,4.71,9,0.224,2,1,4,2,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",6,"1","0",13,"2","0",2,0,0,0,0,4.28,4,0.202,0,-1,1,3,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",6,"1","0",1,"2","0",1,1,0,1,-2,0,1,0.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",7,"1","1",2,"0","0",1,0,0,0,0,2.84,8,0.184,0,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",4,"1","0",2,"1","1",0,0,0,0,4,4.98,19,0.32,4,-1,3,2,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",20,"1","1",5,"0","1",1,0,0,0,-2,2.69,75,0.284,15,-1,7,4,0,0,0,0,0,0,1,1,0,0,0,0
"ChangeUp",24,"1","0",6,"1","0",1,0,1,0,-2,2.69,44,0.22,10,-1,7,4,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",5,"1","0",2,"1","2",1,0,0,0,4,4.98,21,0.305,3,-1,3,2,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",16,"1","1",4,"1","1",0,0,0,0,-1,2.38,7,0.242,2,-1,2,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",3,"1","1",1,"0","0",2,0,0,0,1,4.98,13,0.333,3,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",19,"1","0",6,"2","2",0,0,0,0,3,4.98,14,0.284,3,-1,3,2,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",10,"1","0",3,"3","2",1,0,1,0,3,3.6,40,0.293,10,1,4,4,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",15,"1","0",5,"0","0",0,0,0,0,0,3.18,0,0.111,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","0",1,"0","1",1,0,0,0,0,7.84,5,0.337,4,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",12,"1","1",3,"0","1",2,0,0,1,0,2.84,7,0.255,3,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",3,"1","1",1,"2","2",2,0,0,0,0,7.84,12,0.254,6,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",8,"1","0",2,"0","1",2,1,1,0,0,0,0,0.5,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",1,"1","1",5,"0","0",2,1,0,1,-5,3.69,4,0.2,2,1,3,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",10,"1","0",3,"2","1",1,0,0,0,2,3.88,50,0.282,15,-1,3,4,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",18,"1","1",5,"1","1",0,1,0,0,-2,4.71,4,0.342,0,1,4,2,0,0,0,0,0,0,1,0,0,0,1,0
"ChangeUp",20,"1","1",5,"0","0",0,1,0,0,0,6.35,4,0.227,1,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",15,"1","1",5,"0","2",0,0,0,0,3,3.6,41,0.285,6,1,4,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",26,"1","0",8,"0","0",2,0,0,0,2,2.86,44,0.173,13,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",27,"1","1",8,"1","0",1,0,0,0,11,4.74,5,0.211,2,1,5,4,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",23,"1","0",6,"1","0",0,0,0,0,-2,7.84,0,0.333,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","0",2,"2","0",2,0,0,0,0,3.27,37,0.186,11,1,5,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","1",1,"0","1",0,0,0,0,0,2.65,48,0.281,3,1,8,5,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",3,"1","1",1,"3","2",2,0,0,0,0,7.84,12,0.254,6,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",19,"1","0",6,"3","2",1,0,0,0,6,3.6,40,0.293,10,1,4,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",5,"1","1",1,"0","0",1,1,0,0,-2,2.38,12,0.264,5,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",24,"1","1",6,"0","2",2,0,0,0,3,4.98,23,0.207,8,1,4,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",4,"1","1",2,"2","1",0,0,0,0,1,3.18,3,0.3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",1,"1","1",6,"1","0",1,1,1,0,-4,6.95,14,0.295,2,-1,0,3,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",11,"1","0",2,"1","1",1,0,0,0,-3,0,0,0.125,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",19,"1","0",5,"1","0",0,0,0,0,0,6.35,7,0.31,0,-1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",23,"1","0",6,"2","1",1,0,1,0,2,4.98,21,0.305,3,-1,3,2,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",9,"1","1",3,"2","0",0,0,0,0,0,3.27,6,0.235,1,1,5,4,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",9,"1","0",3,"1","0",0,0,0,0,0,2.84,0,0.231,0,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",3,"1","0",1,"1","2",0,0,0,1,-1,7.31,13,0.299,7,-1,0,2,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",16,"1","1",5,"0","1",0,0,0,0,1,2.84,8,0.184,0,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",20,"1","0",6,"0","0",1,0,0,0,3,4.98,10,0.311,3,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","0",9,"0","2",0,0,0,0,6,3.67,17,0.269,2,-1,3,3,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",21,"1","0",6,"0","0",1,1,0,0,11,4.74,38,0.371,10,1,5,4,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",20,"1","1",4,"0","1",2,0,1,1,1,3.01,73,0.278,15,1,6,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",11,"1","1",2,"1","2",2,1,0,0,-1,2.38,9,0.296,0,-1,2,1,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",7,"1","1",1,"1","0",1,1,0,1,-3,0,1,0.2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",1,"1","0",1,"0","1",0,0,0,0,0,4.71,17,0.336,4,1,4,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",1,"1","0",6,"1","2",0,0,0,0,-8,4.34,49,0.331,19,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",24,"1","1",6,"2","0",2,1,1,0,2,4.98,15,0.313,3,-1,3,2,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",3,"1","0",6,"2","0",1,0,0,0,-5,3.69,7,0.235,0,1,3,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",23,"1","1",7,"0","1",0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",8,"1","0",3,"0","2",1,0,0,0,1,7.84,1,0.455,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"1","1",2,"1","1",2,0,1,0,0,2.84,4,0.333,1,-1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",4,"1","0",6,"3","1",1,1,0,0,-9,4.34,14,0.213,4,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",3,"1","0",9,"3","2",0,1,0,0,12,5.81,16,0.293,6,-1,0,3,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","0",1,"0","0",0,0,0,0,0,3.27,30,0.216,6,1,5,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",12,"1","1",3,"0","1",1,0,0,1,0,3.14,96,0.312,33,-1,5,4,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",2,"1","1",7,"1","1",0,0,0,0,-3,4.87,24,0.262,6,-1,1,3,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",9,"1","0",3,"2","2",2,0,0,0,0,3.62,3,0.239,0,1,13,10,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",19,"1","0",6,"0","0",0,0,0,0,3,4.98,14,0.284,3,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",26,"1","0",7,"0","2",0,0,0,0,6,4.98,1,0.25,0,-1,3,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",5,"1","1",9,"3","2",2,0,1,0,10,3.6,43,0.304,4,1,3,4,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",7,"1","1",1,"0","2",2,1,1,0,-2,2.38,7,0.242,2,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",18,"1","1",5,"0","2",1,0,0,0,10,4.74,5,0.211,2,1,5,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"1","0",8,"3","1",0,0,0,0,1,4.64,21,0.146,3,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",4,"1","1",1,"1","0",0,0,0,1,-1,7.31,10,0.229,4,-1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",1,"1","1",9,"0","0",0,0,0,0,13,5.81,6,0.231,2,-1,0,3,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",27,"1","1",8,"0","0",1,0,0,0,11,4.74,5,0.211,2,1,5,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",21,"1","0",6,"0","0",0,0,0,0,-3,2.31,74,0.353,19,1,7,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",1,"0","0",2,1,0,0,0,3.6,75,0.285,23,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",17,"1","0",5,"0","2",2,0,0,0,3,3.88,14,0.276,1,-1,3,4,0,0,0,0,0,0,1,0,1,0,0,0
"ChangeUp",11,"1","1",4,"1","2",0,0,0,0,1,2.86,54,0.343,7,-1,7,5,0,0,0,0,0,1,0,0,1,0,0,0
"ChangeUp",6,"1","0",2,"1","0",0,0,0,0,0,4.6,1,0.125,0,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",19,"1","1",5,"2","2",0,0,0,0,-1,2.38,4,0.297,1,-1,2,1,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",24,"1","0",7,"0","1",1,0,0,0,2,3.14,48,0.307,6,-1,5,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",2,"1","1",1,"0","1",1,0,0,0,1,3.88,30,0.273,3,-1,3,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",9,"1","1",3,"2","1",0,0,0,0,0,3.27,6,0.235,1,1,5,4,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",12,"1","1",3,"0","0",0,0,0,0,-1,2.38,10,0.354,2,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","0",6,"1","0",1,1,0,0,-9,4.34,14,0.213,4,1,1,3,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",8,"1","1",5,"1","2",2,1,1,0,-5,4.03,3,0.294,0,1,1,3,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",2,"1","1",1,"1","0",0,0,0,0,0,3.27,42,0.336,6,1,5,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",5,"1","1",7,"1","0",1,0,0,0,-6,6.95,6,0.188,2,-1,0,3,0,0,0,0,0,0,1,1,0,0,0,0
"ChangeUp",17,"1","1",5,"0","1",1,1,0,0,0,3.18,5,0.273,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",1,"1","0",1,"2","2",0,0,0,0,0,2.64,52,0.272,10,1,8,6,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",6,"1","0",2,"1","2",0,0,0,0,1,3.14,48,0.307,6,-1,5,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",4,"1","0",2,"0","0",0,0,0,0,4,4.98,19,0.32,4,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",15,"1","0",4,"0","0",2,0,0,0,0,2.84,2,0.233,0,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","0",2,"3","2",1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",8,"1","1",3,"1","1",0,1,0,0,1,2.69,21,0.247,4,-1,7,4,0,0,0,1,0,0,0,0,0,0,1,0
"ChangeUp",16,"1","0",4,"1","1",0,0,0,0,1,4.98,19,0.195,7,1,4,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"1","0",5,"2","1",0,1,1,0,-5,4.03,10,0.294,0,1,1,3,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",3,"1","0",8,"0","0",2,0,0,0,-5,4.11,22,0.167,4,1,1,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","1",6,"1","1",1,0,0,0,-8,4.34,25,0.312,7,1,1,3,0,0,0,0,0,0,1,0,0,0,1,0
