"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",25,"0","1",6,"2","1",0,1,0,0,-1,5.32,8,0.217,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",3,"0","1",1,"0","1",0,1,0,0,-1,2.03,90,0.301,17,1,10,3,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",24,"0","0",7,"2","2",1,0,0,0,9,3.66,4,0.75,1,-1,4,2,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",17,"0","1",4,"0","2",1,0,0,0,2,2.03,18,0.255,4,1,10,3,0,0,0,0,0,0,1,0,1,0,0,0
"ChangeUp",26,"0","1",6,"1","0",1,0,0,1,-3,2.01,21,0.226,8,1,10,2,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",2,"0","1",1,"0","1",1,0,0,0,0,4.36,7,0.274,0,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0
"Slider/Cutter",16,"0","1",4,"0","0",0,0,0,0,-1,4.36,2,0.375,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",18,"0","1",5,"0","2",1,0,0,0,7,3.66,3,0.375,0,-1,4,2,0,0,0,1,0,0,0,0,1,0,0,0
"ChangeUp",17,"0","1",5,"0","2",0,0,0,0,1,3.04,3,0.143,1,-1,6,2,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",6,"0","1",2,"0","0",0,1,0,0,-2,2.09,6,0.3,1,1,10,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",8,"0","1",3,"0","2",0,0,0,0,0,1.89,16,0.263,2,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",17,"0","1",5,"1","1",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",27,"0","1",7,"1","1",2,1,1,0,2,2.14,9,0.197,0,-1,10,2,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",24,"0","1",8,"0","1",0,0,0,0,1,2.09,45,0.247,6,1,11,3,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",18,"0","1",5,"1","2",0,0,0,0,2,2.8,22,0.228,5,-1,7,4,0,0,0,0,0,0,1,0,0,1,0,0
