pitch_type,bat_order,pitch_rl,bat_rl,inning,balls,strikes,out,on_1b,on_2b,on_3b,score_diff,era,rbi,avg,hr,pitcher_at_home,pitcher_wins,pitcher_losses,batter_wins,batter_losses,prev_pitch_type0,prev_pitch_typeChangeUp,prev_pitch_typeFastball,prev_pitch_typeKnuckleBall,prev_pitch_typeSlider.Cutter,prevprev_pitch_type0,prevprev_pitch_typeChangeUp,prevprev_pitch_typeFastball,prevprev_pitch_typeKnuckleBall,prevprev_pitch_typeSlider.Cutter
Fastball,4,1,1,2,0,0,0,0,0,0,6,3.36,65,0.277,20,1,11,5,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,6,1,0,6,2,2,1,1,1,0,-1,4.11,11,0.306,0,1,7,4,0,0,0,1,0,0,0,0,1,0,0,0
KnuckleBall,7,1,1,2,1,1,0,0,0,0,0,3.41,52,0.293,3,1,11,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,1,1,1,1,0,0,0,0,0,0,0,3.36,0,1,0,1,11,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,2,1,0,1,0,0,1,0,0,0,0,3.55,48,0.275,8,1,10,5,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,5,1,0,2,0,1,0,0,0,0,1,3.97,67,0.275,16,1,7,5,0,0,0,0,0,0,1,1,0,0,0,0
Fastball,6,1,0,5,1,1,1,1,0,0,-2,3.26,2,0.179,1,-1,13,5,0,0,0,0,1,0,0,0,0,0,1,0
Fastball,2,1,0,3,1,1,1,0,0,0,1,3.97,37,0.258,6,1,7,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,0,1,1,7,1,0,0,0,0,0,12,3.78,12,0.19,0,1,8,5,0,0,0,0,1,0,0,1,0,0,0,0
Slider/Cutter,1,1,0,4,2,2,2,1,0,1,3,0.84,5,0.273,2,-1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,6,1,0,2,0,1,0,0,0,0,1,3.26,2,0.179,1,-1,13,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,9,1,0,5,0,1,1,1,0,0,2,3.97,4,0.286,0,-1,3,2,0,0,0,0,1,0,0,1,0,0,0,0
KnuckleBall,3,1,1,4,0,0,0,0,0,0,0,1.35,6,0.267,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,8,1,0,5,1,1,0,0,0,0,3,3.4,0,0.308,0,-1,11,5,0,0,0,0,0,1,0,0,0,1,0,0
ChangeUp,2,1,0,7,0,0,2,1,0,0,-2,4.91,34,0.297,10,1,5,3,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,8,1,0,5,2,0,0,0,0,0,1,3.41,16,0.23,5,-1,12,2,0,0,0,0,0,0,1,0,0,0,0,1
Slider/Cutter,1,1,1,3,3,0,0,0,1,0,2,3.41,22,0.288,8,-1,12,2,0,0,0,0,1,0,0,0,0,0,0,1
ChangeUp,4,1,1,4,0,0,2,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,6,1,0,7,0,0,1,1,0,0,12,3.78,12,0.225,2,1,8,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,3,1,1,4,0,2,1,0,0,0,-3,1.71,13,0.262,6,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
Fastball,2,1,1,1,0,1,0,1,0,0,0,4.21,50,0.282,12,-1,7,4,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,1,1,0,7,1,2,1,1,0,0,-2,4.91,18,0.266,4,1,5,3,0,0,0,0,0,0,1,0,0,1,0,0
Fastball,3,1,0,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,8,1,0,2,1,2,1,0,1,0,0,3.41,24,0.275,4,1,11,5,0,0,0,0,1,0,0,0,0,0,0,1
Fastball,1,1,0,1,0,2,0,0,0,0,1,1.71,2,0.25,0,-1,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Slider/Cutter,5,1,0,6,0,0,2,0,0,0,1,3.68,18,0.33,1,-1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,1,1,0,7,1,1,2,1,0,1,3,4.82,28,0.287,6,-1,5,4,0,0,0,0,1,0,0,0,1,0,0,0
ChangeUp,8,1,0,4,0,0,2,0,0,0,0,4.03,5,0.31,0,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
