"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Slider.Cutter",9,"0","1",8,"0","1",0,0,0,0,-1,0,0,0.5,0,-1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"Slider.Cutter",4,"0","1",4,"2","0",0,0,0,0,1,1.2,9,0.237,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"0","1",2,"2","2",2,0,0,0,0,1.92,3,0.212,2,-1,11,2,0,0,0,0,0,1,0,0,0,0,0,1
"Slider.Cutter",1,"0","0",1,"1","2",0,0,0,0,0,1.35,7,0.252,0,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"Slider.Cutter",3,"0","1",4,"2","2",0,1,0,0,5,2.04,8,0.24,4,1,4,1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",3,"0","1",1,"1","1",2,0,0,0,0,1.74,26,0.311,7,-1,2,0,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",6,"0","1",2,"0","1",1,0,0,0,0,1.48,2,0.18,1,-1,7,1,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",7,"0","1",5,"0","2",0,0,0,0,-2,4.42,1,0.143,1,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
"Fastball",3,"0","1",1,"1","0",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"CurveBall",1,"0","0",6,"1","2",1,0,0,0,8,4.32,18,0.265,1,1,2,3,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",9,"0","1",3,"3","2",0,0,0,0,2,1.67,0,0.05,0,-1,18,3,5,3,0,0,0,1,0,0,0,1,0,0
"Fastball",8,"0","1",2,"1","1",0,1,1,0,0,1.57,20,0.252,6,-1,11,1,0,0,0,0,0,0,1,0,0,0,0,1
