"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",2,"0","0",7,"3","0",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",8,"0","1",2,"3","2",0,0,0,0,-2,2.59,7,0.151,4,1,2,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CurveBall",10,"0","1",3,"0","1",0,0,0,0,-1,2.8,19,0.298,3,1,4,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",12,"0","1",4,"2","0",0,0,0,0,3,4.15,17,0.37,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",22,"0","1",6,"2","0",0,0,1,0,4,4.28,36,0.246,6,-1,4,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CurveBall",11,"0","0",2,"1","1",2,1,1,1,-1,4.19,62,0.273,16,1,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",8,"0","1",2,"0","1",2,0,0,0,0,5.51,4,0.242,1,-1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"CurveBall",13,"0","0",4,"1","1",0,0,0,0,2,4.17,104,0.26,41,-1,7,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",15,"0","1",4,"1","1",1,0,0,0,-1,2.86,34,0.271,6,1,5,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CurveBall",19,"0","1",5,"1","0",0,0,0,0,-3,5.44,27,0.262,12,-1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",3,"0","1",7,"2","2",1,0,1,0,-1,4.16,97,0.29,29,-1,7,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",14,"0","1",3,"0","2",0,1,0,0,-4,4.14,42,0.223,11,-1,7,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CurveBall",27,"0","0",7,"0","2",1,0,0,0,-3,2.6,0,0.159,0,-1,8,10,12,8,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",15,"0","1",4,"1","2",0,0,0,0,0,4.13,26,0.235,6,-1,7,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0
