"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeKC","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeKC"
"FT",14,"0","1",4,"0","2",2,0,0,0,2,4.63,49,0.286,20,-1,7,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"CH",24,"0","1",7,"1","0",0,0,0,0,3,6,3,0.279,1,-1,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",9,"0","1",3,"2","2",1,0,0,0,1,2.97,15,0.265,1,-1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FT",8,"0","0",2,"1","1",0,1,0,1,-4,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"FC",5,"0","1",1,"2","2",1,0,1,1,-2,2.45,3,0.4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FT",12,"0","1",4,"0","0",0,0,0,0,0,4.04,27,0.253,9,-1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",15,"0","0",4,"1","1",0,1,1,1,0,2.53,24,0.283,5,-1,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FT",1,"0","0",1,"0","1",0,0,0,0,1,4.42,7,0.315,0,-1,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"CH",24,"0","1",6,"1","0",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FT",23,"0","0",7,"2","1",0,0,0,0,-5,5.53,13,0.271,5,-1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FC",2,"0","1",1,"1","1",1,0,0,0,0,4.88,3,0.301,0,-1,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FF",11,"0","1",3,"2","2",0,0,0,0,1,2.38,24,0.228,7,-1,9,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CH",21,"0","1",5,"2","1",1,1,0,0,2,4.42,17,0.275,2,-1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",27,"0","1",8,"0","1",0,0,0,0,-4,2.53,31,0.242,4,-1,9,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"CH",25,"0","0",7,"0","1",0,0,0,0,3,3.92,40,0.226,17,-1,14,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",11,"0","1",3,"0","2",0,1,0,0,1,5.11,30,0.257,13,-1,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FF",14,"0","1",4,"1","0",1,1,0,0,-4,2.62,22,0.321,5,-1,7,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FF",29,"0","1",8,"0","0",2,0,0,0,-4,2.53,12,0.27,2,-1,9,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",6,"0","1",2,"0","0",2,0,0,0,1,4.05,4,0.273,2,-1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",9,"0","1",2,"1","2",1,1,0,0,2,4.27,12,0.264,0,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"CH",10,"0","1",3,"0","1",0,0,0,0,4,3.11,33,0.283,8,-1,11,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",15,"0","1",4,"0","0",2,0,0,0,1,3.42,12,0.264,3,1,8,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",11,"0","1",3,"1","1",0,0,0,0,4,3.32,9,0.26,1,-1,12,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",21,"0","1",5,"0","2",1,1,0,0,2,5.11,42,0.245,10,-1,7,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CH",30,"0","0",8,"0","0",1,0,0,0,-6,3.33,91,0.316,18,-1,13,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",16,"0","1",4,"3","1",1,1,0,0,-2,2.44,3,0.158,1,-1,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FC",11,"0","1",3,"0","0",2,1,0,0,0,4.04,99,0.284,37,-1,17,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",10,"0","1",3,"1","1",1,0,0,0,1,4.3,26,0.264,6,-1,9,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CH",1,"0","1",1,"0","1",0,0,0,0,0,3.42,28,0.274,7,1,8,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",9,"0","1",3,"1","2",1,0,0,0,3,3.81,3,0.257,0,1,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"FF",21,"0","0",5,"1","2",2,1,1,0,6,2.46,55,0.279,16,-1,15,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CH",23,"0","1",6,"2","2",2,0,0,0,-2,3.33,62,0.288,18,-1,13,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FT",24,"0","1",6,"0","0",0,0,1,0,-4,4.04,17,0.343,4,-1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",16,"0","1",4,"0","0",2,1,1,0,0,2.45,44,0.273,9,-1,10,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",11,"0","1",3,"0","1",0,0,0,1,-1,2.91,21,0.231,2,-1,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"CH",7,"0","1",2,"1","1",0,1,1,0,0,3.08,38,0.209,18,1,11,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FT",17,"0","0",5,"0","0",1,0,0,0,-1,3.06,28,0.229,1,1,10,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",15,"0","1",4,"1","0",0,0,1,0,0,2.5,8,0.263,3,-1,6,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
