"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFF","prev_pitch_typePO","prev_pitch_typeSI","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFF","prevprev_pitch_typePO","prevprev_pitch_typeSI","prevprev_pitch_typeSL"
"CH",20,"1","1",6,"0","0",0,0,1,0,0,1.99,45,0.281,5,-1,13,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",12,"1","0",3,"0","0",2,0,0,0,-1,1.73,22,0.33,5,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",6,"1","0",2,"1","0",1,0,0,0,0,2.21,0,0.114,0,1,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CU",18,"1","0",5,"0","1",2,1,0,0,0,2.14,1,0.4,0,-1,14,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",3,"1","0",1,"1","1",2,0,0,0,0,1.99,65,0.316,15,-1,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"SI",10,"1","0",3,"0","1",1,0,0,0,0,2.84,10,0.309,2,-1,11,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FF",24,"1","0",7,"1","2",2,0,1,0,2,2.24,38,0.247,5,1,9,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"SI",23,"1","1",7,"1","0",0,1,0,0,9,2.73,2,0.182,0,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",4,"1","0",1,"2","1",2,0,1,0,0,2.57,30,0.285,3,-1,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CH",7,"1","0",2,"3","2",2,0,0,0,0,2.24,25,0.195,5,1,9,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CH",8,"1","0",3,"0","1",0,0,0,0,0,1.38,6,0.175,1,-1,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CH",12,"1","0",3,"2","0",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"CU",4,"1","0",1,"1","1",1,1,0,0,-1,2.11,63,0.272,19,1,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CU",22,"1","1",6,"0","0",0,1,0,0,2,3.61,95,0.275,20,-1,11,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",29,"1","0",6,"2","2",2,0,1,0,3,3.02,35,0.277,4,-1,12,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"CU",14,"1","0",5,"0","0",0,0,0,0,9,2.73,22,0.316,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",13,"1","0",4,"0","0",0,0,0,0,-1,2.23,57,0.226,21,-1,13,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",9,"1","0",3,"1","1",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"SI",6,"1","0",2,"1","0",1,0,0,0,0,2.24,38,0.247,5,1,9,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CU",26,"1","0",6,"0","0",2,1,1,0,-4,3.65,19,0.237,3,1,14,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",20,"1","1",5,"0","0",2,0,0,0,2,5.68,3,0.182,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",21,"1","1",6,"2","2",1,0,0,0,0,3.55,76,0.311,26,1,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",6,"1","1",2,"1","1",0,1,0,0,0,2.4,3,0.236,2,-1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
