"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"CurveBall",2,"1","0",6,"0","2",1,0,0,0,-2,2.95,16,0.329,5,1,4,4,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",1,"1","0",1,"2","0",0,0,0,0,0,2.65,58,0.271,8,1,9,5,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"1","0",4,"0","1",2,0,0,0,-1,1.98,7,0.256,4,-1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
"Slider.Cutter",6,"1","0",5,"3","2",0,0,0,0,0,3,16,0.216,6,1,4,3,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"1","1",2,"0","0",1,0,0,0,0,3,39,0.271,11,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",0,"1","1",8,"0","1",0,0,0,0,3,2.94,9,0.19,3,-1,7,5,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",4,"1","0",6,"0","0",2,0,0,0,1,2.65,68,0.288,15,1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"1","0",3,"1","1",0,0,0,0,0,2.5,7,0.233,1,-1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Slider.Cutter",1,"1","1",6,"0","0",0,0,0,0,-2,2.95,15,0.281,1,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",1,"0","0",1,0,0,1,-1,1.81,43,0.282,8,-1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",4,"1","0",2,"1","1",0,0,0,0,1,2.94,33,0.255,10,-1,7,5,0,0,0,0,0,0,1,0,0,0,0,1
"Slider.Cutter",9,"1","1",5,"0","0",0,1,1,0,-1,1.81,0,0.222,0,-1,5,1,6,4,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",9,"1","1",6,"1","2",0,0,0,0,0,2.8,1,0.135,0,1,6,3,6,6,0,0,1,0,0,0,0,1,0,0
"Slider.Cutter",7,"1","1",7,"0","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",8,"1","1",7,"1","1",2,1,1,1,2,2.18,27,0.282,3,1,5,2,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",3,"1","1",1,"1","0",2,0,0,0,0,2.18,39,0.281,9,1,5,2,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",3,"1","1",7,"0","0",0,0,0,0,0,2.8,67,0.285,14,1,6,3,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",6,"1","0",4,"2","1",2,0,0,0,-2,2.95,23,0.26,5,1,4,4,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",5,"1","0",2,"0","0",1,0,0,0,0,1.98,26,0.224,7,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",3,"1","1",3,"1","2",1,0,0,0,-1,3.07,40,0.305,11,-1,7,5,0,0,0,0,1,0,0,0,0,0,1,0
"CurveBall",8,"1","0",5,"1","0",1,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Slider.Cutter",8,"1","1",5,"1","0",1,1,1,1,6,3.04,13,0.275,2,-1,5,4,0,0,0,0,1,0,0,1,0,0,0,0
"Slider.Cutter",8,"1","1",2,"2","2",2,1,0,0,-1,1.81,15,0.28,2,-1,5,1,0,0,0,0,1,0,0,0,0,0,0,1
"CurveBall",0,"1","0",5,"1","0",1,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",8,"1","1",2,"0","2",2,1,0,0,0,2.65,24,0.238,4,1,9,5,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",6,"1","1",4,"0","2",2,1,1,0,4,1.74,6,0.15,1,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","0",1,"0","0",0,0,0,0,1,2.81,44,0.281,9,-1,8,5,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",2,"1","1",2,"2","1",1,0,1,0,-3,2.53,67,0.28,22,-1,7,4,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",1,"1","0",2,"2","2",2,0,0,1,-2,2.12,36,0.282,6,1,5,2,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",2,"1","1",5,"0","1",2,0,0,0,0,0,11,0.221,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",8,"1","0",5,"0","0",0,0,0,0,-2,2.33,3,0.154,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","1",1,"0","1",1,0,0,0,0,2.7,0,0.29,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",8,"1","1",7,"0","0",0,0,0,0,-3,0,1,0.25,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","0",2,"3","2",0,0,0,0,0,2.77,65,0.254,21,-1,6,4,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",5,"1","0",5,"0","2",1,0,0,0,1,1.98,26,0.224,7,1,3,1,0,0,0,0,0,0,1,0,0,1,0,0
"Slider.Cutter",6,"1","0",6,"2","2",2,0,1,1,6,2.88,38,0.259,8,1,7,5,0,0,0,0,1,0,0,0,0,0,0,1
"Fastball",7,"1","1",5,"0","2",1,1,1,0,2,2.61,36,0.218,12,1,6,4,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",3,"1","1",1,"2","0",1,0,1,0,0,3,53,0.305,17,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",9,"1","1",3,"1","2",2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",3,"1","1",4,"1","1",2,0,0,0,0,2.61,77,0.288,24,1,6,4,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",2,"1","0",4,"0","0",0,1,0,0,-1,0,8,0.345,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",5,"1","1",1,"3","2",2,1,1,0,0,2.88,66,0.249,21,1,7,5,0,0,0,0,0,1,0,0,0,0,0,1
"Slider.Cutter",4,"1","0",3,"1","1",2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"1","0",3,"2","1",2,0,0,0,0,2.61,0,0,0,1,6,4,7,4,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","0",1,"0","0",0,0,0,0,0,3,20,0.245,6,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"1","0",6,"2","2",1,0,0,0,0,3.41,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,1
"CurveBall",3,"1","1",1,"2","2",2,0,0,0,0,2.8,42,0.297,11,1,8,5,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","0",5,"0","0",2,0,0,0,0,0,1,0.4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",8,"1","0",5,"2","1",0,0,0,0,0,3.07,10,0.226,1,-1,7,5,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",2,"1","0",1,"1","0",0,1,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",1,"1","0",1,"2","2",0,0,0,0,0,1.98,24,0.276,4,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",6,"1","1",2,"0","0",2,0,0,0,1,2.94,12,0.171,2,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",8,"1","1",2,"0","0",2,0,0,0,-2,2.95,7,0.25,1,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","0",9,"1","2",0,0,0,0,8,3.4,15,0.292,3,-1,6,5,0,0,0,0,0,0,1,0,1,0,0,0
"CurveBall",1,"1","0",1,"1","2",0,0,0,0,0,2.53,44,0.264,6,-1,7,4,0,0,0,0,0,1,0,0,0,0,0,1
"Slider.Cutter",2,"1","1",5,"1","0",1,1,1,0,2,2.77,19,0.269,6,-1,4,4,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",7,"1","0",7,"0","0",2,0,0,0,1,2.65,22,0.243,3,1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","1",4,"0","0",0,0,0,0,0,0,15,0.208,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","1",2,"1","1",0,1,0,0,0,2.8,9,0.24,2,1,8,5,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",1,"1","0",3,"0","1",0,0,0,0,4,2.88,47,0.302,9,1,7,5,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",6,"1","1",2,"0","1",2,0,0,0,2,2.8,27,0.227,2,1,9,5,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",4,"1","0",3,"2","0",0,0,0,0,-4,2.03,13,0.329,4,1,3,1,0,0,0,0,0,1,0,0,1,0,0,0
"CurveBall",5,"1","0",6,"0","0",0,0,1,0,-2,2.11,36,0.237,10,-1,6,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","1",2,"1","0",0,0,0,0,0,0,15,0.208,7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",1,"1","0",1,"1","1",0,0,0,0,0,3.41,10,0.238,3,1,3,3,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",4,"1","0",3,"2","2",2,1,0,0,-2,2.77,18,0.257,4,-1,4,4,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",5,"1","0",3,"1","2",1,0,0,0,-3,2.53,55,0.221,14,-1,7,4,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",8,"1","0",2,"2","0",0,1,1,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"CurveBall",5,"1","1",8,"0","0",0,0,0,0,2,2.05,31,0.279,10,-1,4,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",3,"1","0",1,"0","1",1,0,1,0,0,2.66,29,0.289,0,-1,10,5,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",1,"1","0",9,"0","2",1,0,0,0,2,2.8,17,0.248,6,1,9,5,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",4,"1","0",1,"1","0",1,1,1,0,0,0,12,0.269,5,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",6,"1","0",4,"0","1",1,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",5,"1","1",4,"2","0",1,0,0,0,-1,1.81,24,0.272,3,-1,5,1,0,0,0,0,1,0,0,0,0,0,1,0
"Slider.Cutter",2,"1","1",5,"1","2",2,1,0,1,-1,1.81,50,0.286,12,-1,5,1,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",2,"1","1",6,"1","0",1,0,0,0,1,2.77,34,0.278,2,-1,6,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",4,"1","0",5,"0","1",0,0,0,0,0,3.41,13,0.287,3,1,3,3,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",5,"1","0",2,"2","1",1,0,0,0,0,0,4,0.24,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",9,"1","1",3,"0","1",0,0,0,0,4,2.88,1,0.111,0,1,7,5,8,7,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",3,"1","0",4,"0","0",0,0,0,0,3,2.66,29,0.289,0,-1,10,5,0,0,1,0,0,0,0,1,0,0,0,0
