"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeKnuckleBall","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeKnuckleBall","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Slider.Cutter",1,"0","1",3,"1","0",1,0,0,0,0,7.36,23,0.256,5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",3,"0","0",2,0,0,0,2,3,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","0",4,"3","1",0,1,1,0,0,3.52,13,0.248,0,1,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",4,"0","1",2,"0","2",0,0,0,0,0,1.98,71,0.291,7,-1,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",7,"0","1",2,"0","0",1,0,0,0,0,3.7,2,0.444,0,1,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","0",5,"1","2",1,0,0,0,-2,7.36,29,0.271,7,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","1",3,"1","0",0,0,0,0,1,6.86,15,0.355,2,-1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",4,"0","0",1,1,0,0,-1,5.74,5,0.229,1,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",7,"1","0",0,0,1,0,-1,1.98,67,0.283,7,-1,6,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Slider.Cutter",7,"0","0",2,"2","1",2,1,0,0,0,1.91,37,0.258,8,-1,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",2,"0","1",2,"0","2",1,1,1,0,1,8.4,6,0.232,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"KnuckleBall",6,"0","1",1,"0","0",1,1,0,1,0,0,10,0.179,5,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",8,"1","0",1,0,0,0,3,4.31,3,0.204,1,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",4,"0","0",0,0,0,0,0,2.76,6,0.186,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",8,"0","1",2,"1","2",0,0,0,0,-1,3.7,66,0.258,20,-1,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",1,"0","0",1,"2","1",0,0,0,0,0,2.25,37,0.282,8,-1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",3,"0","0",2,1,0,0,0,7.36,29,0.313,6,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",4,"0","2",2,1,0,0,0,2.76,86,0.302,31,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"0","1",3,"2","0",0,0,0,0,1,6.86,15,0.355,2,-1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",3,"0","1",1,"1","2",2,0,0,0,0,1.91,17,0.293,4,-1,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"KnuckleBall",4,"0","1",2,"1","1",0,1,1,0,-4,0,12,0.3,3,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"0","1",3,"2","2",1,0,0,1,3,2.38,63,0.287,11,-1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",3,"2","1",1,1,0,1,1,1.87,52,0.274,10,1,5,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"KnuckleBall",5,"0","1",2,"0","2",1,0,0,0,4,5.08,18,0.293,2,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","1",3,"1","2",1,1,0,0,2,4.31,21,0.228,5,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Slider.Cutter",1,"0","0",1,"2","0",0,0,0,0,0,5.11,2,0.184,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",1,"2","1",2,0,0,0,0,1.83,89,0.259,26,-1,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",7,"0","1",3,"1","0",0,0,0,0,0,0,0,0.333,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"KnuckleBall",2,"0","1",3,"0","1",1,1,1,0,2,2.2,32,0.269,2,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",4,"1","0",0,1,0,0,0,7.36,20,0.317,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",2,"0","0",0,0,0,0,-1,3.7,28,0.264,4,-1,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",2,"2","1",1,0,0,0,0,2.76,57,0.289,11,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"0","1",2,"3","1",2,1,0,0,3,2.38,9,0.248,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",9,"0","1",2,"3","1",1,0,0,1,-1,2.25,27,0.211,8,-1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Slider.Cutter",7,"0","0",2,"2","1",2,1,0,0,2,3,1,0.286,1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",2,"0","0",5,"0","0",0,1,0,0,3,3.82,69,0.267,18,-1,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider.Cutter",6,"0","1",2,"0","1",0,0,0,0,3,2.25,7,0.2,3,-1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"KnuckleBall",6,"0","1",4,"0","1",2,1,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",3,"2","2",1,0,0,0,-4,0,2,0.286,0,-1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
"Slider.Cutter",2,"0","1",3,"2","2",1,0,1,0,-4,0,22,0.264,7,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",9,"0","1",5,"2","0",0,0,0,0,-1,5.74,2,0.184,1,-1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",6,"0","1",2,"3","2",1,0,0,0,4,5.08,8,0.213,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","0",1,"2","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","0",1,"2","0",0,0,0,0,0,2.25,37,0.282,8,-1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",2,"0","1",1,"2","0",0,0,1,0,0,0,2,0.286,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",4,"2","2",0,1,0,0,0,1.91,69,0.324,17,-1,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",3,"0","0",1,1,1,0,1,1.87,93,0.255,26,1,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",3,"3","2",0,1,0,0,0,3.7,54,0.313,6,1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
