"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFA","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"FC",13,"1","0",4,"0","2",0,1,0,0,0,2.18,52,0.277,13,1,10,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CH",8,"1","0",2,"2","0",1,1,0,0,0,3.43,43,0.254,10,-1,9,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FT",23,"1","0",7,"1","1",0,0,0,0,5,2.84,15,0.261,4,-1,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"FC",22,"1","1",6,"1","2",0,0,0,0,1,2.9,31,0.256,2,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FT",13,"1","0",3,"0","0",2,1,0,0,-1,2.93,29,0.324,7,-1,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",17,"1","1",4,"0","0",2,0,1,0,-1,1.86,1,0.3,0,-1,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",2,"1","0",1,"1","0",0,0,0,0,2,2.84,25,0.262,9,-1,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FC",19,"1","0",5,"3","2",2,1,0,0,5,2.05,36,0.243,6,-1,12,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FC",14,"1","0",5,"0","0",0,0,0,0,4,4.5,1,0,0,-1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",15,"1","0",5,"0","0",0,1,0,0,-8,2.16,13,0.23,1,-1,9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",21,"1","1",7,"1","2",0,0,0,0,2,1.15,8,0.311,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FC",22,"1","0",5,"1","1",0,1,0,0,-4,1.95,11,0.25,4,-1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CH",22,"1","0",5,"0","0",1,0,0,0,1,1.85,22,0.24,5,-1,6,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",14,"1","1",4,"2","1",1,1,0,0,0,2.18,62,0.253,17,1,10,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"CH",2,"1","1",1,"2","2",1,0,0,0,0,1.68,10,0.279,1,1,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FF",21,"1","0",6,"1","2",0,0,0,0,1,2.98,8,0.336,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FF",18,"1","1",3,"2","2",2,1,1,1,2,2.53,2,0.098,0,-1,13,2,9,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FC",5,"1","1",2,"2","1",0,0,0,0,0,1.5,11,0.263,2,-1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FT",13,"1","1",3,"1","0",1,1,1,1,-1,2.15,13,0.354,4,-1,18,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FT",11,"1","1",4,"1","1",1,0,0,0,0,2.7,19,0.266,6,-1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"FF",13,"1","1",4,"2","1",0,0,0,0,1,2.62,56,0.238,19,-1,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FC",3,"1","1",1,"3","1",1,0,0,0,0,1.29,3,0.333,1,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FT",5,"1","1",2,"0","0",0,0,0,0,0,2.46,53,0.257,19,-1,9,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",15,"1","1",4,"1","2",2,1,1,0,0,2.98,20,0.264,3,-1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FF",25,"1","1",7,"3","2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"FF",21,"1","1",5,"1","2",2,1,0,0,3,3.02,19,0.24,7,-1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FC",26,"1","0",6,"1","1",2,1,0,0,2,1.92,5,0.29,0,1,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CH",4,"1","0",2,"0","2",0,0,0,0,0,2.79,41,0.261,16,-1,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CH",17,"1","1",5,"3","2",2,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"CH",24,"1","0",7,"0","2",0,0,0,0,-7,2.16,13,0.23,1,-1,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"FC",5,"1","1",2,"2","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FT",14,"1","1",4,"0","1",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CH",7,"1","1",2,"1","2",1,1,0,0,0,1.29,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FC",31,"1","1",8,"0","1",1,0,0,0,0,2.05,46,0.284,11,-1,14,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FT",27,"1","0",8,"0","0",0,0,0,0,-1,3.49,2,0.1,0,-1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",12,"1","1",3,"1","0",2,0,1,0,1,2.62,68,0.231,21,-1,7,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FC",9,"1","1",3,"1","2",0,0,0,0,0,2.31,8,0.263,1,-1,8,1,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"FF",2,"1","1",1,"0","2",0,0,0,0,0,1.38,2,0.209,1,-1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",2,"1","1",1,"1","0",0,0,0,0,0,2.65,4,0.125,1,1,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FF",22,"1","1",5,"0","0",1,0,0,0,-4,2.73,65,0.242,24,-1,13,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",4,"1","0",2,"1","0",0,0,0,0,1,2.14,10,0.17,5,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",12,"1","1",4,"2","2",0,1,0,0,0,3.49,13,0.289,5,-1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"CH",27,"1","0",8,"0","0",2,0,0,0,4,1.86,15,0.24,1,-1,7,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",18,"1","0",6,"0","0",1,0,0,0,2,2.33,4,0.275,0,1,18,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",18,"1","0",4,"1","2",2,0,0,0,-2,1.93,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",9,"1","1",3,"1","1",0,0,0,0,0,1.83,0,0.095,0,-1,4,4,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FF",32,"1","0",8,"3","2",2,0,0,0,5,2.04,43,0.254,12,1,13,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FT",14,"1","1",3,"3","0",0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FF",18,"1","0",5,"2","2",0,0,0,0,-3,1.68,0,0.25,0,1,5,4,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"FT",29,"1","1",8,"0","1",2,1,0,0,-1,3.49,9,0.309,4,-1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",2,"1","0",1,"2","2",0,1,0,0,0,2.98,10,0.283,2,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"FT",23,"1","1",7,"1","0",2,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",24,"1","1",7,"1","1",0,0,0,0,0,2.14,3,0.149,0,-1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FF",19,"1","1",4,"2","2",1,1,0,0,-4,2.46,56,0.272,10,-1,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FC",12,"1","1",3,"0","0",2,0,0,0,1,2.29,83,0.314,25,1,19,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
