"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",2,"0","1",1,"0","0",1,0,0,0,0,2.51,2,0.32,1,-1,13,7,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",4,"0","1",1,"0","1",2,1,0,0,1,2.44,48,0.276,7,-1,12,7,0,0,0,0,0,1,0,1,0,0,0,0
"Slider/Cutter",17,"0","1",4,"3","1",0,0,0,0,0,3.36,2,0.212,0,-1,4,6,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",13,"0","1",3,"0","0",2,1,0,0,0,7.84,4,0.262,0,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",6,"0","1",2,"1","2",0,0,0,0,0,2.53,41,0.257,6,-1,13,8,0,0,0,0,1,0,0,0,0,0,1,0
"Slider/Cutter",23,"0","1",8,"0","0",0,0,0,0,6,3.1,12,0.379,2,1,2,4,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",18,"0","0",4,"1","2",1,0,0,1,2,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",22,"0","1",6,"1","0",1,0,1,0,1,3.33,19,0.279,5,1,7,7,0,0,0,0,0,1,0,1,0,0,0,0
"Slider/Cutter",21,"0","0",6,"0","0",1,0,0,0,-1,2.55,71,0.321,12,-1,13,9,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",3,"0","0",1,"3","1",1,1,0,0,0,3.33,15,0.258,2,1,7,7,0,0,0,0,0,0,1,0,0,0,0,1
"Slider/Cutter",8,"0","1",2,"3","1",0,0,1,1,0,3.36,2,0.212,0,-1,4,6,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",10,"0","0",4,"2","0",0,0,0,0,1,3.52,16,0.284,2,1,6,7,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",2,"0","0",1,"1","0",1,0,0,0,0,2.51,3,0.351,0,-1,0,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",26,"0","1",6,"2","1",0,0,0,0,-5,2.67,0,0.143,0,1,4,5,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",28,"0","0",8,"0","0",0,0,0,0,4,2.54,34,0.298,1,-1,13,10,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",1,"0","1",1,"2","2",0,0,0,0,0,3.33,15,0.34,2,1,7,7,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",9,"0","1",3,"1","1",1,1,0,0,4,3.1,1,0.2,0,1,2,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",30,"0","1",8,"2","2",2,1,0,1,0,2.57,4,0.324,0,-1,1,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"0","1",3,"0","0",0,0,0,0,0,2.51,30,0.209,9,-1,13,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",23,"0","1",6,"0","0",0,1,0,0,-1,2.73,41,0.279,8,1,9,7,0,0,1,0,0,0,0,1,0,0,0,0
