"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",24,"0","1",5,"0","1",2,1,0,0,0,3.15,60,0.271,14,-1,5,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",21,"0","1",5,"1","2",1,1,0,1,-1,5.28,20,0.35,6,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",20,"0","1",4,"0","1",2,0,0,0,-2,3.25,7,0.255,1,1,6,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",7,"0","0",2,"1","1",0,0,0,0,-2,3.3,66,0.289,9,-1,8,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",10,"0","0",4,"2","2",0,0,0,0,0,3.44,8,0.287,0,1,5,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",1,"0","1",1,"0","1",0,0,0,0,0,3.3,47,0.268,10,-1,8,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",9,"0","1",3,"0","1",1,0,0,0,1,4.33,7,0.324,1,1,2,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",4,"0","1",1,"1","1",1,1,0,0,0,4,22,0.28,3,-1,3,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",11,"0","1",3,"2","2",1,0,1,0,2,9,1,0.214,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",14,"0","0",3,"1","1",1,1,1,0,-1,3.31,8,0.391,3,-1,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",21,"0","0",6,"0","2",1,0,0,0,0,3.26,44,0.272,6,1,5,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",2,"0","0",1,"0","1",1,0,0,0,0,8.4,5,0.328,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",25,"0","1",6,"2","1",1,0,0,0,0,3.44,2,0.158,0,-1,7,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Fastball",5,"0","1",1,"0","0",1,0,1,1,-2,3.3,23,0.226,5,-1,8,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",15,"0","1",4,"1","0",1,0,0,0,0,3.67,4,0.211,2,-1,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"CurveBall",12,"0","1",3,"0","0",0,0,0,0,-3,3.69,43,0.318,8,1,4,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",26,"0","1",6,"0","0",0,0,0,0,0,3.69,14,0.236,2,1,4,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",14,"0","1",4,"0","0",0,0,0,0,-3,3.3,23,0.226,5,-1,8,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",16,"0","1",5,"2","2",0,0,0,0,-1,3.81,22,0.306,5,1,4,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CurveBall",21,"0","0",6,"0","0",0,0,0,0,0,2.77,7,0.233,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",8,"0","0",3,"3","2",0,0,0,0,0,3.67,10,0.381,2,1,2,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",5,"0","1",2,"0","1",0,0,0,0,-1,3.81,39,0.253,12,1,4,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",20,"0","1",5,"2","2",1,0,0,0,1,3.3,24,0.273,3,-1,8,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"CurveBall",10,"0","1",2,"0","0",1,0,0,0,-2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"0","0",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",26,"0","1",7,"1","1",0,0,0,0,0,3.22,66,0.256,6,1,9,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",21,"0","0",5,"0","0",0,1,1,0,0,3.44,87,0.311,18,-1,7,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"0","0",0,0,1,0,0,3.25,7,0.255,1,1,6,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",6,"0","1",2,"0","0",1,0,1,0,3,3,6,0.226,2,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",7,"0","1",2,"1","1",2,1,0,0,0,3.67,18,0.28,6,1,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",14,"0","1",3,"3","2",1,0,0,0,-1,0,0,0.5,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",22,"0","1",6,"0","2",1,0,0,0,3,9,5,0.333,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",16,"0","1",4,"0","0",1,0,0,0,-2,3.24,13,0.183,3,1,5,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",12,"0","0",3,"0","1",0,0,0,0,-1,4.28,9,0.265,2,1,2,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",18,"0","1",5,"0","2",2,1,0,0,-1,8.4,5,0.25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",16,"0","1",5,"2","1",0,0,0,0,2,3.9,13,0.258,3,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",3,"0","1",1,"0","0",2,0,0,0,3,5.03,18,0.248,6,-1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",14,"0","0",5,"0","0",0,0,0,0,3,5.03,18,0.306,6,-1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",21,"0","1",5,"2","2",0,0,0,0,-1,3.69,43,0.318,8,1,4,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",9,"0","1",2,"1","2",2,0,0,0,0,3.14,14,0.233,3,1,6,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"0","1",3,"0","2",1,0,0,0,1,4,4,0.122,1,-1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",12,"0","0",3,"2","1",2,1,1,0,0,3.67,21,0.29,1,-1,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",1,"3","2",0,0,1,0,0,3.15,47,0.248,7,1,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",10,"0","0",4,"0","2",0,0,0,0,1,3.2,19,0.311,2,-1,5,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",20,"0","0",4,"0","0",1,0,1,0,-4,2.37,4,0.29,1,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",20,"0","1",6,"1","2",1,0,1,0,2,3.69,2,0.063,1,-1,4,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",25,"0","1",6,"1","2",2,1,0,1,0,2.77,4,0.273,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",12,"0","1",3,"0","0",1,0,0,0,0,3.67,10,0.257,2,-1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",12,"0","1",3,"2","1",0,0,0,0,-3,3.69,43,0.318,8,1,4,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",23,"0","1",7,"2","0",0,0,0,0,0,4,13,0.282,4,-1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",19,"0","1",4,"2","2",1,1,0,1,-1,3.15,23,0.309,5,1,6,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",21,"0","1",5,"2","0",2,0,0,0,1,3.3,90,0.252,22,-1,8,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fastball",1,"0","0",1,"0","0",0,0,0,0,0,3.44,26,0.265,3,-1,7,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
