"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typePO","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"FT",8,"1","0",3,"1","1",0,0,0,0,-1,1.8,0,0.08,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"SL",12,"1","1",3,"1","2",2,0,0,0,-1,4.71,40,0.283,11,-1,6,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"FF",25,"1","1",7,"2","2",1,0,0,0,2,0,2,0.25,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",3,"1","0",1,"1","0",1,0,0,0,0,2.64,31,0.293,11,1,9,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FF",26,"1","1",7,"1","2",0,0,0,0,4,4.71,10,0.226,2,-1,6,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"SL",14,"1","0",3,"2","1",1,1,0,0,-2,3.71,5,0.14,1,-1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"FF",6,"1","0",2,"1","0",0,0,0,0,1,4.56,19,0.245,8,1,6,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FF",22,"1","0",5,"0","0",2,1,1,0,2,4.71,60,0.238,18,-1,6,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",17,"1","0",5,"0","1",0,0,0,0,0,4.78,8,0.221,1,-1,4,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"SL",2,"1","0",1,"1","2",0,0,0,0,0,0,0,0.148,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",11,"1","0",4,"1","2",0,0,0,0,1,1.8,3,0.25,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FF",27,"1","0",7,"1","2",2,1,1,1,5,4.51,18,0.31,5,-1,9,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"FT",14,"1","0",4,"1","0",0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FT",6,"1","0",2,"0","0",0,0,0,0,1,4.56,19,0.245,8,1,6,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SL",16,"1","1",5,"3","2",1,0,0,0,1,2.92,11,0.189,1,1,10,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",10,"1","0",3,"2","1",1,0,1,0,0,2.31,16,0.271,1,-1,6,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"SL",8,"1","1",3,"2","1",0,0,0,0,0,5.07,12,0.174,2,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",24,"1","0",7,"1","0",1,0,1,0,0,2.96,7,0.211,1,1,3,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FT",7,"1","1",2,"1","0",2,0,0,0,-1,1.83,4,0.219,1,-1,5,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
