"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",7,"1","0",3,"2","0",0,0,0,0,0,2.57,11,0.275,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",1,"1","0",1,"0","0",0,0,0,0,0,3.58,43,0.282,12,1,3,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",24,"1","1",5,"0","0",1,0,0,0,-2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",12,"1","0",4,"1","2",0,0,0,0,5,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",17,"1","1",4,"1","0",1,0,0,0,-1,5.05,0,0.091,0,1,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Slider/Cutter",28,"1","1",7,"2","1",1,1,1,0,0,2.68,14,0.227,8,1,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CurveBall",12,"1","1",3,"2","2",1,1,0,1,0,2.68,22,0.254,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",19,"1","1",5,"0","0",2,0,0,0,0,6.62,45,0.267,10,-1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",23,"1","1",7,"2","2",0,0,0,0,1,4.57,47,0.255,9,-1,1,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Slider/Cutter",20,"1","0",5,"1","2",0,1,0,0,1,4.82,11,0.26,1,1,13,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",15,"1","0",3,"0","0",2,1,1,1,-1,4.8,12,0.343,2,1,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",21,"1","1",5,"1","1",2,0,0,0,1,4.88,65,0.311,18,-1,8,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",24,"1","1",5,"2","2",0,0,1,0,-4,4.5,4,0.389,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Fastball",24,"1","0",7,"0","1",1,0,0,0,10,4.81,53,0.265,8,-1,13,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",26,"1","1",7,"3","1",0,0,1,1,3,3.45,36,0.217,1,-1,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",23,"1","1",6,"1","0",0,0,1,0,1,4.8,35,0.304,8,1,6,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",19,"1","0",6,"0","2",0,0,0,0,0,4.66,50,0.283,15,-1,10,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Slider/Cutter",16,"1","1",6,"0","0",0,0,0,0,5,3.86,30,0.186,8,1,1,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",24,"1","0",5,"0","0",0,0,0,1,-5,3.55,15,0.286,2,1,5,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",8,"1","0",3,"1","2",0,0,0,0,0,4.57,43,0.211,21,-1,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",5,"1","1",2,"1","1",0,0,0,0,4,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",23,"1","1",7,"0","0",2,0,0,0,6,6.75,45,0.256,10,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",29,"1","0",7,"0","0",1,1,0,0,-6,4.68,9,0.245,1,-1,12,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0
