"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",14,"1","1",4,"2","2",1,1,0,0,-1,2.77,44,0.254,14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"ChangeUp",8,"1","1",3,"2","2",0,0,0,0,1,4.14,8,0.209,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",8,"1","1",3,"0","0",0,0,0,0,1,4.14,8,0.209,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",5,"1","0",2,"1","2",1,0,0,0,2,5.15,22,0.28,2,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",22,"1","1",6,"1","0",1,1,1,0,1,2.38,44,0.253,9,1,6,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",19,"1","0",6,"0","0",0,0,0,0,7,2.33,26,0.294,2,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",26,"1","1",8,"1","1",0,0,0,0,3,1.83,41,0.205,20,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",6,"1","0",2,"3","0",0,0,1,0,0,5.23,5,0.223,2,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",15,"1","1",4,"3","2",0,0,0,0,5,1.91,66,0.249,21,1,5,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"1","0",1,"0","0",1,0,0,0,0,1.51,51,0.298,9,-1,4,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",20,"1","1",6,"2","2",2,0,0,0,2,5.15,25,0.291,3,-1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",19,"1","1",4,"0","0",2,0,0,0,-3,0,10,0.225,2,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
