"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"ChangeUp",6,"1","1",7,"1","1",0,0,0,0,0,3.32,28,0.279,3,-1,7,4,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",2,"1","1",3,"2","0",0,1,0,0,-1,3.11,23,0.318,7,-1,5,3,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",5,"1","0",1,"0","2",2,1,1,0,-2,3.07,15,0.27,4,-1,8,6,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",6,"1","1",2,"1","2",1,0,0,0,0,3.11,12,0.247,2,-1,5,3,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",2,"1","1",4,"0","0",0,0,0,0,0,2.72,19,0.276,3,-1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","1",4,"1","0",2,0,0,0,-1,2.25,2,0.229,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",3,"1","0",1,"0","1",2,0,0,0,0,0,0,0.333,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",2,"1","1",6,"1","0",0,0,0,0,1,3.04,5,0.306,2,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",0,"1","0",3,"0","0",1,0,0,0,5,2.7,0,0,0,-1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","0",3,"0","0",1,0,0,0,0,3.32,21,0.252,6,-1,7,4,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",2,"1","0",8,"1","1",1,1,0,0,1,2.31,24,0.328,7,1,5,1,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",8,"1","0",2,"0","0",2,1,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","1",3,"2","1",0,1,0,0,-1,2.99,36,0.294,7,-1,7,5,0,0,0,0,0,0,1,0,0,0,1,0
