"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Slider.Cutter",5,"1","1",5,"0","0",0,0,0,0,1,3.97,3,0.6,1,-1,4,1,0,0,1,0,0,0,1,0,0,0
"ChangeUp",6,"1","0",2,"1","0",1,0,0,0,0,2.83,21,0.27,4,-1,6,1,0,0,0,0,1,0,1,0,0,0
"Fastball",1,"1","0",1,"2","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"ChangeUp",3,"1","0",1,"1","1",2,0,0,0,0,2.52,41,0.31,12,-1,7,1,0,0,0,0,1,0,0,0,1,0
"Fastball",8,"1","1",5,"1","0",1,0,0,0,6,3.24,18,0.237,2,1,5,1,0,0,0,0,0,1,1,0,0,0
"Fastball",9,"1","0",6,"1","0",0,0,0,0,3,5.13,12,0.153,5,-1,3,1,0,0,0,0,0,1,1,0,0,0
"Fastball",5,"1","1",5,"1","0",2,0,1,0,2,0,7,0.241,5,-1,0,0,0,0,0,0,0,1,1,0,0,0
"Fastball",7,"1","1",3,"0","0",0,0,0,0,0,3.97,13,0.202,2,-1,4,1,0,0,1,0,0,0,1,0,0,0
"Slider.Cutter",6,"1","1",5,"1","1",1,0,0,0,2,5.13,31,0.232,13,-1,3,1,0,0,0,0,0,1,0,0,1,0
"Fastball",8,"1","0",1,"1","2",1,1,1,0,-4,3.6,1,0.214,0,-1,1,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",2,"1","1",5,"1","2",1,0,0,0,1,6.3,5,0.211,2,-1,1,1,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",8,"1","0",5,"0","1",1,0,0,0,1,6.52,16,0.24,5,1,2,1,0,0,0,1,0,0,1,0,0,0
"ChangeUp",5,"1","0",7,"2","1",0,0,0,0,0,6.52,18,0.188,8,1,2,1,0,0,0,0,1,0,0,1,0,0
