"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",13,"1","1",5,"0","1",0,0,0,0,2,2.97,50,0.251,16,1,4,5,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","0",1,"3","1",1,1,1,0,1,2.66,7,0.147,0,-1,6,5,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",15,"1","0",3,"2","1",0,0,0,0,0,2.66,28,0.252,7,-1,6,5,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",9,"1","1",3,"2","1",0,0,0,0,3,3.38,2,0.107,0,1,3,4,4,2,0,0,0,1,0,0,0,0,1,0
"Fastball",4,"1","1",2,"0","0",0,0,0,0,2,2.97,50,0.251,16,1,4,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","0",1,"1","0",2,0,0,0,0,2.53,29,0.265,11,1,3,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","0",2,"0","0",0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"1","1",2,"3","2",0,0,0,0,-2,2.41,33,0.263,9,1,9,3,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",8,"1","1",2,"2","0",1,0,0,0,1,3.01,3,0.212,1,1,6,6,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",15,"1","0",4,"0","1",2,0,0,0,0,0.69,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",17,"1","1",5,"1","1",1,0,0,0,1,3.11,26,0.277,7,-1,4,4,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",10,"1","1",3,"0","0",1,0,0,0,1,3.07,62,0.299,25,-1,7,6,0,0,1,0,0,0,0,1,0,0,0,0
