"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"CurveBall",1,"1","0",3,"2","2",0,0,0,0,1,3.47,15,0.217,2,-1,7,6,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",6,"1","0",2,"0","1",1,1,1,0,0,3.34,44,0.223,11,-1,12,11,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",9,"1","1",3,"0","1",2,0,0,0,0,3.38,0,0.294,0,-1,3,3,4,3,0,0,0,1,0,1,0,0,0,0
"Fastball",6,"1","0",7,"0","0",0,1,0,0,1,3.38,27,0.213,9,-1,3,3,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",8,"1","0",7,"0","0",1,0,0,0,1,5.9,16,0.258,2,-1,4,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","0",3,"2","1",2,0,0,0,0,3.34,54,0.289,9,-1,12,11,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",4,"1","0",6,"0","1",1,0,0,0,3,3.59,34,0.228,4,-1,10,10,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",3,"1","0",1,"0","0",1,0,0,0,-1,3.53,31,0.29,6,1,9,10,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","0",1,"0","0",0,0,0,0,0,3.24,20,0.306,4,-1,6,5,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",1,"1","0",2,"2","2",0,1,1,0,-2,4.6,11,0.433,0,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",5,"1","0",3,"0","0",0,0,0,0,-6,3.39,43,0.271,9,-1,8,9,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","1",2,"1","0",1,1,1,0,-2,4.6,14,0.281,2,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0
"CurveBall",4,"1","1",7,"0","1",0,0,0,0,7,3.7,20,0.299,6,1,6,6,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",6,"1","1",3,"0","0",1,1,0,0,-1,4.6,6,0.232,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"1","1",3,"1","0",0,0,0,0,2,5.33,4,0.192,3,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",2,"1","1",4,"2","2",0,0,0,0,-6,4.24,4,0.28,2,-1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
