"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeEP","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeEP","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"SL",3,"1","1",1,"2","2",0,1,0,0,1,1.39,56,0.255,26,-1,8,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FT",19,"1","0",5,"2","2",1,1,0,0,3,2.65,44,0.301,12,1,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FF",30,"1","1",8,"3","1",1,1,0,0,0,1.52,22,0.259,1,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FT",24,"1","0",7,"0","1",0,0,0,0,1,1.68,30,0.206,3,1,18,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",27,"1","1",7,"1","1",0,0,0,0,-1,3.84,11,0.219,2,-1,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"FF",19,"1","0",5,"2","1",2,1,0,1,1,1.67,12,0.217,0,-1,13,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CH",20,"1","0",5,"0","0",2,0,0,0,-1,2.18,29,0.276,10,1,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",7,"1","1",2,"2","2",0,0,0,0,2,5.25,8,0.289,4,-1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FT",24,"1","1",6,"0","0",2,1,0,0,1,2.78,28,0.302,6,-1,10,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",7,"1","1",2,"0","0",1,1,0,0,0,1.65,17,0.295,1,-1,18,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",17,"1","0",5,"0","2",1,1,0,0,4,3.6,1,0.111,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"SL",17,"1","0",5,"1","2",1,0,0,0,-3,4.29,7,0.203,2,-1,7,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FF",1,"1","0",1,"0","1",0,0,0,0,1,1.48,19,0.247,7,-1,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",13,"1","1",4,"1","0",1,0,0,0,6,2.89,40,0.256,6,1,9,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",23,"1","1",6,"3","1",2,0,0,0,-1,1.52,5,0.125,2,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"SL",29,"1","0",8,"1","0",2,0,0,0,3,1.37,56,0.272,13,1,9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"SL",23,"1","1",6,"1","0",0,0,0,0,-3,2.57,26,0.283,8,-1,9,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"FF",7,"1","0",1,"2","2",2,1,1,0,-2,2.64,5,0.28,1,-1,15,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"SL",22,"1","1",7,"2","1",1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FF",10,"1","0",3,"0","0",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",2,"1","0",1,"0","2",1,0,0,0,0,2.74,10,0.349,0,1,16,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"FF",5,"1","0",2,"0","0",1,0,0,0,0,1.5,7,0.286,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",20,"1","0",5,"0","0",2,1,1,0,3,2.65,23,0.323,8,1,8,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",3,"1","0",1,"2","1",1,0,0,0,0,1.59,58,0.307,21,1,12,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CH",28,"1","0",7,"1","1",1,1,0,0,-2,1.3,31,0.249,14,-1,9,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FF",8,"1","1",3,"0","1",1,0,0,0,1,1.37,26,0.198,8,1,9,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",26,"1","1",7,"2","2",2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",13,"1","1",3,"2","1",2,0,1,0,1,2.45,27,0.308,3,-1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",18,"1","1",5,"2","2",1,1,1,0,1,0,0,0.333,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"SL",27,"1","1",8,"0","1",0,0,0,0,1,1.68,62,0.25,14,1,18,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"SL",7,"1","1",2,"2","1",0,0,1,0,0,6.16,6,0.278,2,-1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FT",16,"1","0",5,"0","0",0,1,0,0,1,3.6,0,0.444,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",27,"1","0",7,"2","2",2,1,0,0,6,5.08,19,0.265,7,-1,4,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FF",21,"1","1",6,"0","0",2,0,0,0,-3,4.29,13,0.189,4,-1,7,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",9,"1","1",3,"0","2",1,0,0,0,0,4.17,3,0.106,1,1,12,4,13,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
