"","pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","prev_pitch_type"
"56","8","7","0","1",2,"2","2",0,0,0,0,1,"-1"
"78","11","2","0","1",2,"0","2",2,1,0,1,1,"8"
"83","8","3","0","0",3,"0","2",0,0,0,0,1,"11"
"86","8","4","0","1",3,"1","1",0,0,1,0,1,"8"
"89","8","4","0","1",3,"3","2",0,0,0,1,1,"8"
"92","8","6","0","0",3,"0","0",2,0,0,0,0,"-1"
"171","2","1","0","0",1,"2","2",0,0,0,0,0,"8"
"177","2","3","0","1",1,"0","0",2,0,0,0,0,"-1"
"180","2","4","0","1",2,"0","1",0,0,0,0,0,"2"
"186","2","6","0","1",2,"2","0",1,1,0,0,0,"2"
"189","2","7","0","1",2,"0","0",1,1,0,0,0,"-1"
"195","2","7","0","1",2,"3","2",1,0,0,1,0,"2"
"199","8","9","0","1",3,"0","0",0,0,0,0,0,"-1"
"206","11","1","0","0",3,"2","2",1,0,0,0,0,"8"
"213","2","1","0","1",1,"0","1",0,0,0,0,0,"11"
"216","2","2","0","1",1,"1","0",0,1,0,0,0,"2"
"222","2","3","0","1",1,"1","1",0,1,0,0,-1,"2"
"225","2","4","0","1",1,"0","0",1,1,0,0,-1,"-1"
"226","8","4","0","1",1,"0","1",1,1,0,0,-1,"2"
"228","2","5","0","1",1,"0","0",2,1,0,0,-1,"-1"
"231","2","6","0","1",2,"0","0",0,0,0,0,-1,"-1"
"242","11","1","0","1",3,"0","1",1,0,0,0,-1,"2"
"243","2","2","0","1",3,"0","0",1,0,0,0,-1,"-1"
"244","8","2","0","1",3,"0","1",1,0,0,0,-1,"2"
"246","2","3","0","1",3,"1","0",2,0,1,0,-1,"8"
"249","2","4","0","1",4,"0","2",0,0,0,0,-1,"2"
"250","8","4","0","1",4,"1","2",0,0,0,0,-1,"2"
"251","11","4","0","1",4,"1","2",0,0,0,0,-1,"8"
"254","11","4","0","1",4,"2","2",0,0,0,0,-1,"11"
"256","8","5","0","1",4,"1","0",1,0,0,0,-1,"11"
"257","11","5","0","1",4,"1","1",1,0,0,0,-1,"8"
"258","2","5","0","1",4,"1","2",1,0,0,0,-1,"11"
"259","8","5","0","1",4,"2","2",1,0,0,0,-1,"2"
"264","2","6","0","1",4,"0","1",1,0,0,0,-1,"8"
"266","11","6","0","1",4,"1","2",1,0,0,0,-1,"2"
"267","2","6","0","1",4,"1","2",1,0,0,0,-1,"11"
"270","2","7","0","0",4,"0","2",2,0,1,0,-1,"2"
"271","8","8","0","1",5,"0","0",0,0,0,0,1,"-1"
"272","11","8","0","1",5,"0","1",0,0,0,0,1,"8"
"279","2","1","0","1",5,"0","1",1,0,1,0,1,"11"
"282","2","2","0","1",5,"0","0",1,0,1,0,1,"-1"
"284","11","2","0","1",5,"1","1",1,0,1,0,1,"2"
"289","8","4","0","1",5,"2","0",2,0,1,0,-1,"11"
"291","2","5","0","1",6,"0","0",0,0,0,0,-1,"-1"
"293","11","5","0","1",6,"0","2",0,0,0,0,-1,"2"
"294","2","6","0","1",6,"0","0",0,0,0,0,-1,"-1"
"295","8","6","0","1",6,"1","0",0,0,0,0,-1,"2"
"300","2","7","0","0",6,"0","0",1,1,0,0,-1,"-1"
"305","11","7","0","0",6,"2","2",1,1,0,0,-1,"2"
"306","2","7","0","0",6,"3","2",1,0,0,0,-1,"11"
"312","2","1","0","1",1,"1","0",0,0,0,0,0,"2"
"315","2","1","0","1",1,"3","1",0,0,0,0,0,"2"
"318","2","3","0","1",1,"0","0",0,1,1,0,0,"-1"
"322","8","5","0","1",1,"1","1",1,1,1,0,-1,"2"
"323","11","5","0","1",1,"1","2",1,1,1,0,-1,"8"
"326","11","6","0","1",1,"0","2",2,1,1,0,-1,"11"
"330","2","7","0","1",2,"1","1",0,0,0,0,-1,"11"
"333","2","8","0","1",2,"0","1",1,0,0,0,-1,"2"
"335","11","8","0","1",2,"1","2",1,0,0,0,-1,"2"
"336","2","9","0","1",2,"0","0",1,0,0,0,-1,"-1"
"337","8","1","0","1",2,"0","0",2,1,0,0,-1,"-1"
"339","2","2","0","1",3,"0","1",0,0,0,0,-1,"8"
"340","8","2","0","1",3,"1","1",0,0,0,0,-1,"2"
"352","8","7","0","1",4,"1","1",0,0,0,0,-2,"8"
"355","8","7","0","1",4,"3","2",0,0,0,0,-2,"8"
"364","8","9","0","1",4,"2","2",0,1,0,1,-2,"8"
"369","2","3","0","0",4,"1","0",1,1,1,1,-4,"8"
"372","2","4","0","1",4,"0","0",2,0,1,1,-4,"-1"
"375","2","4","0","1",4,"1","2",2,0,1,1,-4,"2"
"376","8","4","0","1",4,"2","2",2,0,1,1,-4,"2"
"379","8","5","0","1",5,"1","1",0,0,0,0,-4,"8"
"383","11","6","0","1",5,"0","1",1,0,0,0,-4,"8"
"388","8","7","0","1",5,"2","2",2,0,0,0,-4,"11"
"399","2","1","0","1",6,"1","1",2,0,0,0,-4,"8"
"403","8","2","0","1",7,"2","1",0,0,0,0,-4,"2"
"406","8","2","0","1",7,"3","2",0,0,0,0,-4,"8"
"408","2","3","0","0",7,"1","0",0,1,0,0,-4,"8"
"409","8","4","0","1",7,"0","0",0,1,0,0,-6,"-1"
"414","2","1","0","0",1,"1","2",0,0,0,0,0,"8"
"417","2","2","0","1",1,"1","1",0,0,0,0,0,"2"
"420","2","3","0","1",1,"1","1",1,1,0,0,0,"2"
"423","2","4","0","1",1,"0","0",2,1,0,0,0,"-1"
"426","2","5","0","1",2,"1","1",0,0,0,0,3,"2"
"427","8","5","0","1",2,"2","1",0,0,0,0,3,"2"
"429","2","5","0","1",2,"3","2",0,0,0,0,3,"8"
"430","8","5","0","1",2,"3","2",0,0,0,0,3,"2"
"435","2","6","0","0",2,"2","2",1,0,0,0,3,"8"
"436","8","7","0","1",2,"0","0",2,0,0,0,3,"-1"
"438","2","7","0","1",2,"0","2",2,0,0,0,3,"8"
"441","2","8","0","1",3,"1","0",0,0,0,0,3,"2"
"444","2","9","0","1",3,"0","0",1,0,0,0,3,"-1"
"447","2","9","0","1",3,"1","2",1,0,0,0,3,"2"
"448","8","1","0","0",3,"0","0",2,0,0,0,3,"-1"
"450","2","2","0","1",4,"0","0",0,0,0,0,2,"-1"
"453","2","2","0","1",4,"1","2",0,0,0,0,2,"2"
"454","8","3","0","1",4,"0","0",0,0,0,0,2,"-1"
"456","2","4","0","1",4,"0","1",0,0,0,0,2,"8"
"459","2","5","0","1",4,"0","0",1,1,0,0,2,"-1"
"465","2","6","0","0",4,"0","0",2,0,1,0,2,"-1"
"468","2","6","0","0",4,"2","1",2,0,1,0,2,"2"
"471","2","8","0","1",5,"0","0",0,1,0,0,3,"-1"
"473","11","8","0","1",5,"0","2",0,1,0,0,3,"2"
"474","2","9","0","1",5,"0","0",1,1,0,0,3,"-1"
"475","8","9","0","1",5,"1","0",1,1,0,0,3,"2"
"476","11","9","0","1",5,"1","1",1,1,0,0,3,"8"
"477","2","9","0","1",5,"1","2",1,1,0,0,3,"11"
"479","11","1","0","0",5,"0","1",1,1,0,0,1,"2"
"483","2","1","0","0",5,"3","2",1,0,1,0,1,"11"
"484","8","1","0","0",5,"3","2",1,0,1,0,1,"2"
"486","2","1","0","0",5,"3","2",1,0,1,0,1,"8"
"489","2","2","0","1",5,"0","2",2,0,0,0,1,"2"
"496","8","4","0","1",6,"1","1",0,0,0,0,3,"2"
"497","11","4","0","1",6,"1","2",0,0,0,0,3,"8"
"498","2","5","0","1",6,"0","0",0,0,1,0,3,"-1"
"500","11","5","0","1",6,"1","1",0,0,1,0,3,"2"
"501","2","5","0","1",6,"2","1",0,0,1,0,3,"11"
"504","2","6","0","0",6,"1","0",1,1,0,1,3,"2"
"517","8","1","0","0",1,"2","1",0,0,0,0,0,"2"
"519","2","1","0","0",1,"3","2",0,0,0,0,0,"8"
"520","8","1","0","0",1,"3","2",0,0,0,0,0,"2"
"524","11","2","0","1",1,"0","1",1,0,0,0,0,"8"
"530","11","3","0","1",1,"2","2",2,0,0,0,0,"11"
"531","2","4","0","1",2,"0","0",0,0,0,0,0,"-1"
"534","2","6","0","0",2,"0","0",2,0,0,0,0,"-1"
"535","8","6","0","0",2,"1","0",2,0,0,0,0,"2"
"540","2","8","0","0",3,"0","0",0,1,0,0,0,"-1"
"552","2","1","0","0",3,"0","0",1,0,1,1,-1,"-1"
"555","2","1","0","0",3,"2","1",1,0,1,1,-1,"2"
"561","2","3","0","1",3,"1","2",2,1,0,0,-2,"2"
"565","8","4","0","1",4,"0","2",0,0,0,0,-2,"2"
"570","2","5","0","1",4,"1","0",1,0,0,0,-2,"8"
"575","11","6","0","0",4,"2","2",2,0,0,0,-2,"2"
"576","2","6","0","0",4,"3","2",2,0,0,0,-2,"11"
"577","8","7","0","1",5,"0","0",0,0,0,0,-2,"-1"
"578","11","7","0","1",5,"0","1",0,0,0,0,-2,"8"
"586","8","8","0","0",5,"0","2",1,0,0,0,-2,"11"
"588","2","9","0","1",5,"1","0",2,0,0,0,-2,"8"
"590","11","9","0","1",5,"1","2",2,0,0,0,-2,"2"
"592","8","1","0","0",6,"0","1",0,0,0,0,-2,"11"
"594","2","1","0","0",6,"0","2",0,0,0,0,-2,"8"
"597","2","2","0","1",6,"1","0",1,1,0,0,-2,"2"
"603","2","2","0","1",6,"3","2",1,1,0,0,-2,"2"
"606","2","3","0","1",6,"0","2",2,0,0,0,-2,"2"
"612","2","3","0","1",1,"0","0",1,0,0,0,0,"-1"
"613","8","3","0","1",1,"1","0",1,0,0,0,0,"2"
"614","11","3","0","1",1,"1","1",1,0,0,0,0,"8"
"615","2","4","0","1",1,"0","0",1,0,1,0,-1,"-1"
"618","2","6","0","0",2,"0","1",0,0,0,0,-1,"2"
"621","2","6","0","0",2,"2","2",0,0,0,0,-1,"2"
"627","2","8","0","1",2,"1","0",1,0,0,0,-1,"2"
"630","2","9","0","1",2,"0","0",2,1,0,0,-1,"-1"
"632","11","9","0","1",2,"0","2",2,1,0,0,-1,"2"
"633","2","1","0","0",3,"0","0",0,0,0,0,-1,"-1"
"634","8","1","0","0",3,"1","0",0,0,0,0,-1,"2"
"637","8","1","0","0",3,"2","2",0,0,0,0,-1,"8"
"643","8","2","0","1",3,"0","0",0,0,0,0,-1,"-1"
"645","2","2","0","1",3,"2","0",0,0,0,0,-1,"8"
"648","2","4","0","1",4,"0","0",0,0,0,0,-2,"-1"
"653","11","5","0","1",4,"2","2",0,0,0,0,-2,"2"
"654","2","6","0","0",4,"0","0",1,0,0,0,-2,"-1"
"658","8","6","0","0",4,"2","2",1,0,0,0,-2,"2"
"660","2","7","0","1",4,"1","0",2,0,0,0,-2,"8"
"662","11","8","0","1",5,"0","1",0,0,0,0,-1,"2"
"663","2","8","0","1",5,"0","2",0,0,0,0,-1,"11"
"666","2","9","0","1",5,"1","1",0,1,0,0,-1,"2"
"669","2","1","0","0",5,"0","0",1,0,1,0,-1,"-1"
"672","2","1","0","0",5,"1","2",1,0,1,0,-1,"2"
"673","8","1","0","0",5,"1","2",1,0,1,0,-1,"2"
"679","8","3","0","1",6,"0","0",0,0,0,0,-1,"-1"
"680","11","3","0","1",6,"0","1",0,0,0,0,-1,"8"
"682","8","4","0","1",6,"0","0",1,0,0,0,-1,"-1"
"686","11","4","0","1",6,"2","2",1,0,0,0,-1,"8"
"687","2","5","0","1",6,"0","0",2,0,0,0,-1,"-1"
"688","8","6","0","0",7,"0","0",0,0,0,0,-1,"-1"
"691","8","6","0","0",7,"2","1",0,0,0,0,-1,"8"
"693","2","7","0","1",7,"0","0",1,0,0,0,-1,"-1"
"696","2","9","0","1",7,"0","0",2,1,0,0,-1,"-1"
"698","11","9","0","1",7,"0","2",2,1,0,0,-1,"2"
"699","2","1","0","1",1,"0","0",0,0,0,0,1,"-1"
"705","2","2","0","1",1,"0","2",1,0,0,0,1,"2"
"712","8","4","0","1",2,"0","0",0,0,0,0,1,"-1"
"713","11","4","0","1",2,"0","1",0,0,0,0,1,"8"
"714","2","4","0","1",2,"1","1",0,0,0,0,1,"11"
"717","2","5","0","1",2,"0","1",1,0,0,0,1,"2"
"723","2","8","0","1",3,"0","0",1,0,0,0,1,"-1"
"726","2","9","0","1",3,"0","1",1,0,0,0,1,"2"
"728","11","1","0","1",3,"0","1",2,0,1,0,1,"2"
"732","2","3","0","1",4,"0","1",1,0,0,0,3,"11"
"733","8","3","0","1",4,"1","1",1,0,0,0,3,"2"
"738","2","5","0","1",5,"0","0",0,0,0,0,3,"-1"
"739","8","5","0","1",5,"1","0",0,0,0,0,3,"2"
"741","2","6","0","1",5,"1","0",1,0,0,0,3,"8"
"747","2","7","0","1",5,"0","1",2,0,0,0,3,"2"
"748","8","7","0","1",5,"1","1",2,0,0,0,3,"2"
"750","2","7","0","1",5,"1","2",2,0,0,0,3,"8"
"753","2","8","0","1",6,"0","1",0,0,0,0,3,"2"
"756","2","2","0","1",6,"0","0",1,1,0,0,2,"-1"
"759","2","2","0","1",6,"1","2",1,1,0,0,2,"2"
"766","8","4","0","1",7,"0","0",0,0,0,0,2,"-1"
"768","2","4","0","1",7,"2","0",0,0,0,0,2,"8"
"770","11","5","0","1",7,"0","1",1,0,0,0,2,"2"
"772","8","5","0","1",7,"2","1",1,0,0,0,2,"11"
"774","2","6","0","1",7,"1","0",2,0,0,0,2,"8"
"777","2","7","0","1",8,"2","0",0,0,0,0,2,"2"
"780","2","8","0","1",8,"0","0",0,0,0,0,1,"-1"
"786","2","9","0","0",8,"3","2",0,0,0,0,1,"2"
"793","8","1","0","0",1,"2","1",0,0,0,0,0,"2"
"795","2","1","0","0",1,"3","2",0,0,0,0,0,"8"
"803","11","3","0","1",1,"2","2",2,0,0,0,0,"2"
"809","11","6","0","1",2,"1","1",2,0,0,0,1,"11"
"810","2","6","0","1",2,"1","2",2,0,0,0,1,"11"
"811","8","6","0","1",2,"2","2",2,0,0,0,1,"2"
"814","8","7","0","1",3,"1","1",0,0,0,0,1,"8"
"815","11","7","0","1",3,"1","2",0,0,0,0,1,"8"
"816","2","8","0","1",3,"0","0",0,0,0,0,1,"-1"
"817","8","8","0","1",3,"1","0",0,0,0,0,1,"2"
"819","2","9","0","0",3,"0","0",1,1,0,0,1,"-1"
"822","2","1","0","0",3,"1","0",2,0,1,0,1,"2"
"825","2","2","0","1",4,"1","1",0,0,0,0,2,"2"
"829","8","3","0","1",4,"0","0",0,1,0,0,2,"-1"
"830","11","3","0","1",4,"0","1",0,1,0,0,2,"8"
"831","2","3","0","1",4,"1","1",0,1,0,0,2,"11"
"835","8","5","0","1",4,"1","0",0,1,0,1,1,"2"
"837","2","6","0","1",4,"0","0",0,1,1,0,0,"-1"
"840","2","7","0","1",4,"2","0",0,1,0,1,0,"2"
"843","2","7","0","1",4,"3","2",0,1,0,1,0,"2"
"844","8","7","0","1",4,"3","2",0,1,0,1,0,"2"
"846","2","8","0","1",4,"0","0",1,1,1,1,-1,"-1"
"849","2","9","0","0",4,"0","2",1,0,1,1,-3,"2"
"852","2","9","0","0",4,"2","2",1,0,1,1,-3,"2"
"854","11","1","0","0",4,"0","1",2,1,0,0,-3,"2"
"857","11","2","0","1",5,"0","1",0,0,0,0,0,"11"
"861","2","3","0","1",5,"0","1",1,0,0,0,0,"11"
"862","8","3","0","1",5,"0","2",1,0,0,0,0,"2"
"863","11","3","0","1",5,"1","2",1,0,0,0,0,"8"
"877","2","7","0","1",6,"0","0",0,0,0,0,0,"-1"
"879","11","7","0","1",6,"1","1",0,0,0,0,0,"2"
"886","2","9","0","1",6,"0","0",0,1,0,0,0,"-1"
"889","2","9","0","1",6,"3","0",0,1,0,0,0,"2"
"892","2","1","0","0",6,"1","1",1,1,1,0,0,"2"
"898","2","2","0","1",6,"3","1",1,1,1,0,0,"2"
"901","2","1","0","0",1,"1","0",0,0,0,0,0,"2"
"902","8","1","0","0",1,"1","1",0,0,0,0,0,"2"
"907","2","2","0","1",1,"3","1",0,0,1,0,0,"8"
"908","8","2","0","1",1,"3","2",0,0,1,0,0,"2"
"910","2","3","0","1",1,"0","0",0,0,1,0,0,"-1"
"911","8","4","0","1",1,"0","0",1,1,0,1,0,"-1"
"916","2","5","0","0",1,"1","0",2,1,0,1,0,"8"
"922","2","7","0","1",2,"0","0",0,0,0,0,1,"-1"
"925","2","7","0","1",2,"2","1",0,0,0,0,1,"2"
"931","2","9","0","1",2,"0","1",2,1,0,0,1,"2"
"935","8","1","0","0",3,"0","2",0,0,0,0,1,"2"
"937","2","1","0","0",3,"2","2",0,0,0,0,1,"8"
"940","2","3","0","1",3,"0","0",2,0,0,0,1,"-1"
"941","8","3","0","1",3,"0","1",2,0,0,0,1,"2"
"950","8","4","0","1",4,"3","2",0,0,0,0,4,"8"
"952","2","6","0","1",4,"0","0",2,0,0,0,4,"-1"
"954","11","6","0","1",4,"1","1",2,0,0,0,4,"2"
"957","11","7","0","1",5,"0","1",0,0,0,0,5,"11"
"961","2","8","0","1",5,"0","0",0,0,0,0,5,"-1"
"967","2","8","0","1",5,"3","2",0,0,0,0,5,"2"
"971","8","1","0","0",5,"1","1",2,1,0,0,5,"2"
"976","2","2","0","0",6,"0","1",0,0,0,0,6,"8"
"979","2","3","0","1",6,"1","1",1,0,0,0,6,"2"
"988","2","5","0","0",7,"0","0",0,0,0,0,6,"-1"
"989","8","5","0","0",7,"0","1",0,0,0,0,6,"2"
"1003","2","8","0","1",7,"0","0",1,0,1,0,5,"-1"
"1006","2","9","0","1",7,"2","0",1,1,0,0,5,"2"
"1008","11","9","0","1",7,"2","2",1,1,0,0,5,"2"
"1009","2","9","0","1",7,"3","2",1,1,0,0,5,"11"
"1012","2","1","0","0",1,"1","1",0,0,0,0,0,"2"
"1013","8","1","0","0",1,"1","2",0,0,0,0,0,"2"
"1018","2","3","0","1",1,"0","0",2,1,0,0,0,"-1"
"1030","2","6","0","1",2,"0","1",2,0,0,0,0,"2"
"1033","2","8","0","1",3,"0","0",1,0,0,0,0,"-1"
"1036","2","1","0","0",3,"0","0",1,0,0,0,-1,"-1"
"1037","8","1","0","0",3,"0","1",1,0,0,0,-1,"2"
"1041","11","3","0","1",4,"1","1",0,0,0,0,-1,"8"
"1042","2","3","0","1",4,"2","1",0,0,0,0,-1,"11"
"1045","2","4","0","1",4,"1","0",0,0,1,0,-1,"2"
"1046","8","4","0","1",4,"1","1",0,0,1,0,-1,"2"
"1049","8","4","0","1",4,"2","2",0,0,1,0,-1,"8"
"1051","2","5","0","1",4,"1","0",0,0,1,0,-2,"8"
"1058","8","8","0","1",4,"0","1",2,1,1,0,-2,"2"
"1061","8","8","0","1",4,"1","2",2,1,1,0,-2,"8"
"1070","8","2","0","1",5,"1","0",1,1,0,0,-2,"8"
"1072","2","3","0","1",5,"0","0",2,1,0,0,-2,"-1"
"1079","8","4","0","1",6,"2","2",0,0,0,0,-2,"2"
"1087","2","6","0","1",6,"1","0",2,0,0,0,-2,"8"
"1088","8","7","0","0",7,"0","0",0,0,0,0,-2,"-1"
"1095","11","9","0","1",7,"1","1",1,0,0,0,-2,"8"
"1099","2","1","0","0",7,"0","1",2,1,0,0,-2,"11"
"1100","8","1","0","0",7,"1","1",2,1,0,0,-2,"2"
"1102","2","3","0","1",8,"0","0",0,0,0,0,-2,"-1"
"1103","8","4","0","1",8,"0","0",0,1,0,0,-2,"-1"
"1105","2","4","0","1",8,"1","1",0,1,0,0,-2,"8"
"1111","2","1","0","0",1,"0","2",0,0,0,0,0,"2"
"1115","8","2","0","1",1,"1","1",1,0,0,0,0,"2"
"1127","8","5","0","1",2,"1","0",1,0,0,0,0,"8"
"1129","2","5","0","1",2,"2","1",1,0,0,0,0,"8"
"1132","2","6","0","1",2,"1","0",2,0,0,0,0,"2"
"1140","11","8","0","1",3,"1","2",1,0,0,0,0,"2"
"1141","2","8","0","1",3,"2","2",1,0,0,0,0,"11"
"1144","2","1","0","0",4,"0","0",0,0,0,0,0,"-1"
"1147","2","2","0","1",4,"1","0",1,0,0,0,0,"2"
"1149","11","3","0","0",4,"0","0",2,0,0,0,0,"-1"
"1151","8","3","0","0",4,"1","1",2,0,0,0,0,"11"
"1153","2","3","0","0",4,"3","1",2,0,0,0,0,"8"
"1156","2","4","0","0",5,"0","0",0,0,0,0,6,"-1"
"1159","2","4","0","0",5,"2","1",0,0,0,0,6,"2"
"1162","2","5","0","1",5,"2","0",0,1,0,0,6,"2"
"1166","8","6","0","1",5,"0","2",0,1,0,0,6,"2"
"1168","2","7","0","1",5,"0","0",1,1,1,0,6,"-1"
"1171","2","7","0","1",5,"2","1",1,1,1,0,6,"2"
"1173","11","8","0","1",5,"0","1",2,0,1,1,6,"2"
"1177","2","9","0","0",6,"0","1",0,0,0,0,8,"11"
"1180","2","1","0","0",6,"0","0",1,0,0,0,8,"-1"
"1187","8","2","0","1",6,"0","2",1,0,0,0,8,"2"
"1189","2","3","0","0",6,"0","0",2,1,0,0,8,"-1"
"1191","11","3","0","0",6,"1","1",2,1,0,0,8,"2"
"1196","8","4","0","0",7,"0","2",0,0,0,0,8,"11"
"1198","2","5","0","1",7,"0","0",0,0,1,0,8,"-1"
"1204","2","6","0","1",7,"0","1",1,0,0,1,8,"2"
"1210","2","1","0","0",1,"0","0",0,0,0,0,0,"-1"
"1213","2","2","0","1",1,"0","0",0,0,0,0,0,"-1"
"1214","8","2","0","1",1,"1","0",0,0,0,0,0,"2"
"1215","11","2","0","1",1,"1","1",0,0,0,0,0,"8"
"1216","2","2","0","1",1,"1","2",0,0,0,0,0,"11"
"1219","2","2","0","1",1,"1","2",0,0,0,0,0,"2"
"1222","2","3","0","1",1,"0","0",1,1,0,0,0,"-1"
"1223","8","3","0","1",1,"1","0",1,1,0,0,0,"2"
"1225","2","4","0","1",1,"1","0",2,1,0,0,0,"8"
"1230","11","5","0","1",2,"0","2",0,0,0,0,2,"2"
"1231","2","6","0","1",2,"0","0",1,0,0,0,2,"-1"
"1234","2","8","0","1",2,"1","0",2,1,0,0,2,"2"
"1237","2","9","0","1",3,"0","1",0,0,0,0,2,"2"
"1239","11","1","0","0",3,"0","1",1,0,0,0,2,"2"
"1240","2","1","0","0",3,"0","2",1,0,0,0,2,"11"
"1244","8","2","0","1",3,"0","1",2,0,0,0,2,"2"
"1245","11","2","0","1",3,"0","2",2,0,0,0,2,"8"
"1253","8","4","0","1",4,"1","0",0,1,0,0,0,"11"
"1255","2","4","0","1",4,"3","0",0,1,0,0,0,"8"
"1261","2","5","0","1",4,"3","1",0,0,0,0,0,"2"
"1262","8","5","0","1",4,"3","2",0,0,0,0,0,"2"
"1269","11","8","0","1",5,"1","2",0,0,0,0,0,"8"
"1270","2","9","0","1",5,"0","0",1,0,0,0,0,"-1"
"1276","2","2","0","1",6,"0","0",0,0,0,0,6,"-1"
"1282","2","3","0","1",6,"3","0",0,0,0,0,6,"2"
"1289","8","4","0","1",6,"3","2",1,1,0,0,6,"2"
"1291","2","5","0","1",6,"0","1",2,1,0,0,6,"8"
"1297","2","8","0","1",7,"0","0",1,1,0,0,6,"-1"
"1298","8","8","0","1",7,"1","0",1,1,0,0,6,"2"
"1302","11","9","0","1",7,"0","2",2,0,1,0,6,"8"
"1303","2","1","0","1",1,"0","0",0,0,0,0,0,"-1"
"1306","2","1","0","1",1,"1","2",0,0,0,0,0,"2"
"1312","2","2","0","0",1,"0","2",0,0,0,0,0,"2"
"1315","2","2","0","0",1,"1","2",0,0,0,0,0,"2"
"1327","2","6","0","1",2,"0","0",1,1,0,0,0,"-1"
"1330","2","6","0","1",2,"1","2",1,1,0,0,0,"2"
"1333","2","7","0","1",2,"0","2",2,1,0,0,0,"2"
"1351","2","3","0","1",4,"2","1",0,0,0,0,0,"2"
"1357","2","5","0","1",4,"0","0",2,1,0,0,0,"-1"
"1365","11","7","0","1",5,"0","1",0,0,0,0,0,"2"
"1369","2","8","0","1",5,"0","0",1,1,0,0,0,"-1"
"1372","2","8","0","1",5,"1","2",1,1,0,0,0,"2"
"1375","2","9","0","0",5,"0","0",2,1,0,0,0,"-1"
"1377","11","1","0","1",6,"0","1",0,0,0,0,0,"2"
"1381","2","2","0","0",6,"2","0",1,0,0,0,0,"11"
"1385","8","3","0","1",6,"0","1",2,0,0,0,0,"2"
"1387","2","3","0","1",6,"0","2",2,0,0,0,0,"8"
"1411","2","2","0","1",1,"0","0",1,0,0,0,0,"-1"
"1414","2","2","0","1",1,"2","1",1,0,0,0,0,"2"
"1420","2","4","0","1",1,"0","0",1,1,0,0,0,"-1"
"1421","8","4","0","1",1,"1","0",1,1,0,0,0,"2"
"1423","2","4","0","1",1,"2","1",1,1,0,0,0,"8"
"1426","2","5","0","1",1,"0","1",2,1,1,0,0,"2"
"1428","11","5","0","1",1,"1","2",2,1,1,0,0,"2"
"1433","8","6","0","1",2,"2","1",0,0,0,0,0,"11"
"1438","2","7","0","1",2,"1","2",1,0,0,0,0,"8"
"1444","2","9","0","1",2,"1","1",2,1,0,0,0,"2"
"1450","2","1","0","1",3,"1","2",0,0,0,0,1,"2"
"1454","8","3","0","1",3,"1","0",1,0,0,0,1,"2"
"1455","11","3","0","1",3,"1","1",1,0,0,0,1,"8"
"1464","11","4","0","1",3,"2","2",2,0,1,0,1,"11"
"1465","2","5","0","1",4,"0","0",0,0,0,0,2,"-1"
"1470","11","6","0","1",4,"0","1",0,1,0,0,2,"2"
"1471","2","6","0","1",4,"0","2",0,1,0,0,2,"11"
"1474","2","7","0","1",4,"0","0",1,1,0,0,2,"-1"
"1485","11","1","0","1",5,"0","1",1,0,0,0,2,"2"
"1486","2","1","0","1",5,"1","1",1,0,0,0,2,"11"
"1490","8","2","0","1",5,"0","0",2,0,0,0,2,"-1"
"1491","11","2","0","1",5,"0","1",2,0,0,0,2,"8"
"1492","2","2","0","1",5,"1","1",2,0,0,0,2,"11"
"1516","2","7","0","1",7,"1","2",0,0,0,0,2,"2"
"1519","2","8","0","1",7,"0","0",0,0,0,0,1,"-1"
"1522","2","9","0","0",7,"0","0",1,0,0,0,1,"-1"
"1527","11","1","0","0",1,"0","1",0,0,0,0,0,"2"
"1531","2","2","0","1",1,"0","0",1,0,0,0,0,"-1"
"1532","8","2","0","1",1,"1","0",1,0,0,0,0,"2"
"1540","2","3","0","0",1,"2","0",2,0,0,0,0,"8"
"1549","2","5","0","1",2,"0","0",0,0,1,0,0,"-1"
"1553","8","6","0","0",2,"1","1",0,1,0,1,-1,"2"
"1555","2","6","0","0",2,"3","1",0,1,0,1,-1,"8"
"1558","2","7","0","1",2,"2","0",1,1,0,0,-1,"2"
"1560","11","7","0","1",2,"2","2",1,1,0,0,-1,"2"
"1561","2","8","0","0",2,"0","0",2,1,0,0,-1,"-1"
"1570","2","1","0","0",3,"3","0",0,1,0,0,-1,"2"
"1573","2","2","0","1",3,"0","0",1,1,0,0,-1,"-1"
"1576","2","3","0","0",3,"0","0",1,1,0,0,-3,"-1"
"1579","2","4","0","0",3,"0","0",2,0,0,0,-3,"-1"
